starting
idx,t_us,dL_mm,dDL_mm,dF_mm,dDR_mm,dR_mm,curL,curR,curF,nextL,nextR,nextF,service_us,walls_us
82,1230008,500,78,151,500,1096,0,0,0,1,0,1,1520,14
83,1245008,500,78,151,500,1096,0,0,0,1,0,1,1509,14
84,1260008,500,78,151,500,1096,0,0,0,1,0,1,1508,14
85,1275008,500,78,151,500,1096,0,0,0,1,0,1,1507,13
86,1290008,500,82,151,500,1096,0,0,0,1,0,1,1509,13
87,1305008,500,82,157,500,1096,0,0,0,1,0,1,1520,14
88,1320008,500,82,157,500,1096,0,0,0,1,0,1,1509,14
89,1335008,500,82,157,500,1096,0,0,0,1,0,1,1508,14
90,1350008,500,82,157,500,1096,0,0,0,1,0,1,1506,14
91,1365008,500,81,157,500,1096,0,0,0,1,0,1,1509,13
92,1380008,500,81,150,500,1096,0,0,0,1,0,1,1520,14
93,1395008,500,81,150,500,1096,0,0,0,1,0,1,1509,14
94,1410008,500,81,150,500,1096,0,0,0,1,0,1,1508,14
95,1425008,500,81,150,500,1096,0,0,0,1,0,1,1506,14
96,1440008,500,76,150,500,1096,0,0,0,1,0,1,1509,13
97,1455008,500,76,155,500,1096,0,0,0,1,0,1,1520,14
98,1470008,500,76,155,500,1096,0,0,0,1,0,1,1509,14
99,1485008,500,76,155,500,1096,0,0,0,1,0,1,1508,14
100,1500008,500,76,155,500,1096,0,0,0,1,0,1,1507,13
101,1515008,500,79,155,500,1096,0,0,0,1,0,1,1509,13
102,1530008,500,79,153,500,1096,0,0,0,1,0,1,1520,14
103,1545008,500,79,153,500,1096,0,0,0,1,0,1,1509,14
104,1560008,500,79,153,500,1096,0,0,0,1,0,1,1509,13
105,1575008,500,79,153,500,1096,0,0,0,1,0,1,1507,13
106,1590008,500,79,153,500,1096,0,0,0,1,0,1,1509,13
107,1605008,500,79,155,500,1096,0,0,0,1,0,1,1520,14
108,1620008,500,79,155,500,1096,0,0,0,1,0,1,1510,13
109,1635008,500,79,155,500,1096,0,0,0,1,0,1,1509,14
110,1650008,500,79,155,500,1096,0,0,0,1,0,1,1506,14
111,1665008,500,76,155,500,1096,0,0,0,1,0,1,1509,13
112,1680008,500,76,152,500,1096,0,0,0,1,0,1,1520,14
113,1695008,500,76,152,500,1096,0,0,0,1,0,1,1509,14
114,1710008,500,76,152,500,1070,0,0,0,1,0,1,1509,13
115,1725008,500,76,152,500,1070,0,0,0,1,0,1,1506,14
116,1740008,500,79,152,500,1070,0,0,0,1,0,1,1509,13
117,1755008,500,79,157,500,1070,0,0,0,1,0,1,1520,14
118,1770008,500,79,157,500,1070,0,0,0,1,0,1,1509,14
119,1785008,500,79,157,500,1070,0,0,0,1,0,1,1508,14
120,1800008,500,79,157,500,1070,0,0,0,1,0,1,1507,13
121,1815008,500,80,157,500,1070,0,0,0,1,0,1,1509,14
122,1830008,500,80,154,500,1070,0,0,0,1,0,1,1521,14
123,1845008,500,80,154,500,1070,0,0,0,1,0,1,1509,14
124,1860008,500,80,154,500,1070,0,0,0,1,0,1,1509,13
125,1875008,500,80,154,500,1070,0,0,0,1,0,1,1506,14
126,1890008,500,81,154,500,1070,0,0,0,1,0,1,1509,13
127,1905008,500,81,155,500,1070,0,0,0,1,0,1,1520,14
128,1920008,500,81,155,500,1070,0,0,0,1,0,1,1508,14
129,1935008,500,81,155,500,1092,0,0,0,1,0,1,1509,14
130,1950008,500,81,155,500,1092,0,0,0,1,0,1,1506,14
131,1965008,500,78,155,500,1092,0,0,0,1,0,1,1509,13
132,1980008,500,78,150,500,1092,0,0,0,1,0,1,1520,14
133,1995008,500,78,150,500,1092,0,0,0,1,0,1,1509,14
134,2010008,500,78,150,500,1114,0,0,0,1,0,1,1509,13
135,2025008,500,78,150,500,1114,0,0,0,1,0,1,1506,14
136,2040008,500,81,150,500,1114,0,0,0,1,0,1,1509,14
137,2055008,500,81,156,500,1114,0,0,0,1,0,1,1521,14
138,2070008,500,81,156,500,1114,0,0,0,1,0,1,1509,14
139,2085008,500,81,156,500,1101,0,0,0,1,0,1,1509,13
140,2100008,500,81,156,500,1101,0,0,0,1,0,1,1505,14
141,2115008,500,80,156,500,1101,0,0,0,1,0,1,1509,14
142,2130008,500,80,155,500,1101,0,0,0,1,0,1,1521,14
143,2145008,500,80,155,500,1101,0,0,0,1,0,1,1509,14
144,2160008,500,80,155,500,1102,0,0,0,1,0,1,1509,13
145,2175008,500,80,155,500,1102,0,0,0,1,0,1,1505,14
146,2190008,500,78,155,500,1102,0,0,0,1,0,1,1509,14
147,2205008,500,78,157,500,1102,0,0,0,1,0,1,1521,14
148,2220008,500,78,157,500,1102,0,0,0,1,0,1,1509,14
149,2235008,500,78,157,500,1102,0,0,0,1,0,1,1509,13
150,2250008,500,78,157,500,1102,0,0,0,1,0,1,1506,14
151,2265008,500,79,157,500,1102,0,0,0,1,0,1,1509,13
152,2280008,500,79,151,500,1102,0,0,0,1,0,1,1520,14
153,2295008,500,79,151,500,1102,0,0,0,1,0,1,1509,14
154,2310008,500,79,151,500,1094,0,0,0,1,0,1,1509,13
155,2325008,500,79,151,500,1094,0,0,0,1,0,1,1506,14
156,2340008,500,80,151,500,1094,0,0,0,1,0,1,1509,13
157,2355008,500,80,156,500,1094,0,0,0,1,0,1,1520,14
158,2370008,500,80,156,500,1094,0,0,0,1,0,1,1509,14
159,2385008,500,80,156,500,1094,0,0,0,1,0,1,1508,14
160,2400008,500,80,156,500,1094,0,0,0,1,0,1,1506,14
161,2415008,500,80,156,500,1094,0,0,0,1,0,1,1509,13
162,2430008,500,80,151,500,1094,0,0,0,1,0,1,1520,14
