Time(us),Position(counts),Speed(rad/s)
2,-60303,0.0000
5004,-60304,-1.0429
10004,-60305,-1.0433
15005,-60307,-2.0863
20006,-60309,-2.0863
25009,-60311,-2.0854
30012,-60314,-3.1281
35012,-60317,-3.1300
40013,-60321,-4.1725
45015,-60325,-4.1717
50017,-60329,-4.1717
55018,-60334,-5.2156
60019,-60338,-4.1725
65020,-60344,-6.2588
70021,-60349,-5.2156
75021,-60355,-6.2600
80021,-60360,-5.2167
85022,-60366,-6.2588
90023,-60373,-7.3019
95023,-60379,-6.2600
100025,-60386,-7.3004
105026,-60393,-7.3019
110026,-60400,-7.3034
115028,-60407,-7.3004
120029,-60414,-7.3019
125030,-60421,-7.3019
130031,-60429,-8.3450
135032,-60436,-7.3019
140033,-60444,-8.3450
145034,-60452,-8.3450
150035,-60460,-8.3450
155036,-60468,-8.3450
160037,-60476,-8.3450
165039,-60485,-9.3863
170039,-60493,-8.3467
175041,-60502,-9.3863
180042,-60510,-8.3450
185042,-60519,-9.3900
190044,-60528,-9.3863
195045,-60536,-8.3450
200045,-60545,-9.3900
205047,-60554,-9.3863
210048,-60563,-9.3882
215049,-60572,-9.3882
220050,-60581,-9.3882
225051,-60591,-10.4313
230052,-60600,-9.3882
235053,-60609,-9.3882
240054,-60619,-10.4313
245055,-60628,-9.3882
250056,-60638,-10.4313
255056,-60647,-9.3900
260056,-60657,-10.4334
265057,-60667,-10.4313
270058,-60677,-10.4313
275060,-60687,-10.4292
280060,-60697,-10.4334
285061,-60707,-10.4313
290061,-60717,-10.4334
295062,-60727,-10.4313
300064,-60737,-10.4292
305064,-60747,-10.4334
310066,-60757,-10.4292
315067,-60768,-11.4744
320068,-60778,-10.4313
325069,-60788,-10.4313
330070,-60799,-11.4744
335071,-60809,-10.4313
340072,-60820,-11.4744
345074,-60830,-10.4292
350074,-60841,-11.4767
355075,-60852,-11.4744
360077,-60862,-10.4292
365077,-60873,-11.4767
370078,-60884,-11.4744
375080,-60894,-10.4292
380080,-60905,-11.4767
385082,-60916,-11.4721
390083,-60927,-11.4744
395084,-60938,-11.4744
400085,-60949,-11.4744
405086,-60960,-11.4744
410087,-60972,-12.5175
415088,-60983,-11.4744
420088,-60994,-11.4767
425090,-61005,-11.4721
430092,-61016,-11.4721
435095,-61028,-12.5125
440096,-61039,-11.4744
445098,-61050,-11.4721
450098,-61062,-12.5200
455099,-61073,-11.4744
460101,-61085,-12.5150
465101,-61096,-11.4767
470102,-61108,-12.5175
475103,-61119,-11.4744
480104,-61131,-12.5175
485106,-61142,-11.4721
490107,-61154,-12.5175
495107,-61165,-11.4767
500108,-61177,-12.5175
505109,-61189,-12.5175
510110,-61200,-11.4744
515110,-61212,-12.5200
520110,-61224,-12.5200
525112,-61235,-11.4721
530114,-61247,-12.5150
535114,-61258,-11.4767
540115,-61270,-12.5175
545115,-61282,-12.5200
550117,-61294,-12.5150
555118,-61305,-11.4744
560119,-61317,-12.5175
565120,-61328,-11.4744
570120,-61340,-12.5200
575120,-61352,-12.5200
580121,-61363,-11.4744
585123,-61375,-12.5150
590123,-61386,-11.4767
595124,-61398,-12.5175
600125,-61409,-11.4744
605126,-61421,-12.5175
610128,-61432,-11.4721
615130,-61444,-12.5150
620133,-61455,-11.4698
625134,-61467,-12.5175
630134,-61478,-11.4767
635136,-61489,-11.4721
640137,-61500,-11.4744
645138,-61512,-12.5175
650139,-61523,-11.4744
655139,-61534,-11.4767
660141,-61546,-12.5150
665142,-61557,-11.4744
670143,-61568,-11.4744
675144,-61579,-11.4744
680145,-61590,-11.4744
685147,-61602,-12.5150
690147,-61613,-11.4767
695148,-61624,-11.4744
700150,-61636,-12.5150
705150,-61647,-11.4767
710151,-61658,-11.4744
715153,-61669,-11.4721
720153,-61681,-12.5200
725155,-61692,-11.4721
730155,-61703,-11.4767
735156,-61714,-11.4744
740158,-61726,-12.5150
745158,-61737,-11.4767
750159,-61748,-11.4744
755160,-61760,-12.5175
760161,-61771,-11.4744
765161,-61783,-12.5200
770161,-61794,-11.4767
775161,-61805,-11.4767
780163,-61817,-12.5150
785164,-61828,-11.4744
790166,-61840,-12.5150
795166,-61851,-11.4767
800167,-61863,-12.5175
805169,-61874,-11.4721
810171,-61886,-12.5150
815171,-61898,-12.5200
820171,-61909,-11.4767
825172,-61921,-12.5175
830174,-61933,-12.5150
835175,-61944,-11.4744
840177,-61956,-12.5150
845177,-61968,-12.5200
850177,-61980,-12.5200
855177,-61992,-12.5200
860179,-62004,-12.5150
865180,-62015,-11.4744
870182,-62027,-12.5150
875182,-62039,-12.5200
880184,-62052,-13.5580
885185,-62064,-12.5175
890185,-62076,-12.5200
895187,-62088,-12.5150
900188,-62100,-12.5175
905188,-62112,-12.5200
910190,-62124,-12.5150
915191,-62137,-13.5607
920192,-62149,-12.5175
925193,-62161,-12.5175
930194,-62174,-13.5607
935195,-62186,-12.5175
940196,-62198,-12.5175
945197,-62211,-13.5607
950198,-62223,-12.5175
955199,-62235,-12.5175
960201,-62248,-13.5580
965201,-62260,-12.5200
970203,-62273,-13.5580
975204,-62285,-12.5175
980204,-62298,-13.5634
985206,-62310,-12.5150
990207,-62322,-12.5175
995208,-62335,-13.5607
1000209,-62347,-12.5175
1005210,-62360,-13.5607
1010211,-62372,-12.5175
1015212,-62385,-13.5607
1020213,-62397,-12.5175
1025214,-62410,-13.5607
1030215,-62422,-12.5175
1035217,-62434,-12.5150
1040217,-62447,-13.5634
1045219,-62459,-12.5150
1050220,-62472,-13.5607
1055220,-62484,-12.5200
1060222,-62496,-12.5150
1065223,-62509,-13.5607
1070223,-62521,-12.5200
1075225,-62533,-12.5150
1080226,-62546,-13.5607
1085227,-62558,-12.5175
1090228,-62570,-12.5175
1095229,-62582,-12.5175
1100230,-62594,-12.5175
1105231,-62607,-13.5607
1110232,-62619,-12.5175
1115233,-62631,-12.5175
1120234,-62643,-12.5175
1125236,-62655,-12.5150
1130236,-62667,-12.5200
1135238,-62679,-12.5150
1140239,-62691,-12.5175
1145239,-62703,-12.5200
1150241,-62714,-11.4721
1155241,-62726,-12.5200
1160244,-62738,-12.5125
1165245,-62750,-12.5175
1170247,-62761,-11.4721
1175248,-62773,-12.5175
1180249,-62785,-12.5175
1185250,-62796,-11.4744
1190250,-62808,-12.5200
1195250,-62820,-12.5200
1200252,-62831,-11.4721
1205254,-62843,-12.5150
1210257,-62854,-11.4698
1215258,-62866,-12.5175
1220258,-62878,-12.5200
