Time(us),Position(counts),Speed(rad/s)
2,-85295,0.0000
5004,-85296,-1.0429
10004,-85296,0.0000
15004,-85297,-1.0433
20004,-85298,-1.0433
25006,-85300,-2.0858
30007,-85303,-3.1294
35007,-85305,-2.0867
40009,-85308,-3.1288
45010,-85312,-4.1725
50010,-85315,-3.1300
55012,-85320,-5.2146
60012,-85324,-4.1733
65012,-85329,-5.2167
70012,-85334,-5.2167
75013,-85339,-5.2156
80015,-85345,-6.2575
85015,-85350,-5.2167
90016,-85356,-6.2588
95017,-85362,-6.2588
100018,-85368,-6.2588
105019,-85375,-7.3019
110020,-85382,-7.3019
115021,-85388,-6.2588
120023,-85395,-7.3004
125023,-85402,-7.3034
130025,-85410,-8.3434
135026,-85417,-7.3019
140026,-85424,-7.3034
145028,-85432,-8.3434
150029,-85439,-7.3019
155030,-85447,-8.3450
160031,-85455,-8.3450
165032,-85463,-8.3450
170033,-85471,-8.3450
175034,-85478,-7.3019
180035,-85486,-8.3450
185036,-85495,-9.3882
190037,-85503,-8.3450
195039,-85511,-8.3434
200039,-85519,-8.3467
205041,-85528,-9.3863
210042,-85536,-8.3450
215042,-85545,-9.3900
220044,-85553,-8.3434
225045,-85562,-9.3882
230045,-85571,-9.3900
235047,-85580,-9.3863
240048,-85589,-9.3882
245049,-85598,-9.3882
250050,-85607,-9.3882
255051,-85616,-9.3882
260052,-85625,-9.3882
265053,-85634,-9.3882
270054,-85643,-9.3882
275055,-85653,-10.4313
280056,-85662,-9.3882
285058,-85672,-10.4292
290060,-85681,-9.3863
295060,-85691,-10.4334
300061,-85700,-9.3882
305061,-85710,-10.4334
310062,-85720,-10.4313
315064,-85729,-9.3863
320064,-85739,-10.4334
325066,-85749,-10.4292
330067,-85759,-10.4313
335068,-85769,-10.4313
340069,-85779,-10.4313
345070,-85789,-10.4313
350071,-85799,-10.4313
355072,-85809,-10.4313
360074,-85819,-10.4292
365074,-85829,-10.4334
370075,-85840,-11.4744
375077,-85850,-10.4292
380077,-85860,-10.4334
385078,-85871,-11.4744
390080,-85881,-10.4292
395080,-85891,-10.4334
400082,-85902,-11.4721
405083,-85912,-10.4313
410084,-85923,-11.4744
415085,-85933,-10.4313
420086,-85944,-11.4744
425087,-85954,-10.4313
430088,-85965,-11.4744
435089,-85975,-10.4313
440090,-85986,-11.4744
445091,-85997,-11.4744
450093,-86007,-10.4292
455093,-86018,-11.4767
460094,-86029,-11.4744
465096,-86040,-11.4721
470096,-86050,-10.4334
475097,-86061,-11.4744
480099,-86072,-11.4721
485099,-86083,-11.4767
490101,-86093,-10.4292
495102,-86104,-11.4744
500103,-86115,-11.4744
505104,-86126,-11.4744
510105,-86137,-11.4744
515106,-86148,-11.4744
520107,-86158,-10.4313
525108,-86169,-11.4744
530109,-86180,-11.4744
535110,-86191,-11.4744
540112,-86202,-11.4721
545112,-86213,-11.4767
550113,-86224,-11.4744
555115,-86235,-11.4721
560115,-86246,-11.4767
565117,-86257,-11.4721
570118,-86268,-11.4744
575119,-86279,-11.4744
580120,-86290,-11.4744
585121,-86301,-11.4744
590122,-86312,-11.4744
595123,-86323,-11.4744
600124,-86334,-11.4744
605125,-86345,-11.4744
610126,-86357,-12.5175
615128,-86368,-11.4721
620130,-86379,-11.4721
625130,-86390,-11.4767
630131,-86401,-11.4744
635131,-86413,-12.5200
640133,-86424,-11.4721
645136,-86435,-11.4698
650137,-86446,-11.4744
655139,-86458,-12.5150
660139,-86469,-11.4767
665140,-86480,-11.4744
670141,-86492,-12.5175
675142,-86503,-11.4744
680142,-86514,-11.4767
685144,-86525,-11.4721
690146,-86537,-12.5150
695149,-86548,-11.4698
700150,-86559,-11.4744
705150,-86571,-12.5200
710152,-86582,-11.4721
715152,-86593,-11.4767
720153,-86604,-11.4744
725155,-86616,-12.5150
730155,-86627,-11.4767
735156,-86638,-11.4744
740157,-86649,-11.4744
745158,-86660,-11.4744
750159,-86671,-11.4744
755160,-86682,-11.4744
760161,-86693,-11.4744
765163,-86704,-11.4721
770163,-86715,-11.4767
775164,-86726,-11.4744
780166,-86736,-10.4292
785166,-86747,-11.4767
790167,-86758,-11.4744
795169,-86769,-11.4721
800169,-86780,-11.4767
805171,-86791,-11.4721
810172,-86802,-11.4744
815173,-86812,-10.4313
820174,-86823,-11.4744
825175,-86834,-11.4744
830176,-86845,-11.4744
835177,-86856,-11.4744
840178,-86867,-11.4744
845179,-86878,-11.4744
850180,-86889,-11.4744
855182,-86900,-11.4721
860182,-86911,-11.4767
865183,-86921,-10.4313
870185,-86933,-12.5150
875185,-86944,-11.4767
880186,-86955,-11.4744
885188,-86966,-11.4721
890188,-86977,-11.4767
895190,-86988,-11.4721
900191,-86999,-11.4744
905192,-87010,-11.4744
910193,-87022,-12.5175
915195,-87033,-11.4721
920196,-87044,-11.4744
925196,-87055,-11.4767
930197,-87066,-11.4744
935198,-87078,-12.5175
940199,-87089,-11.4744
945199,-87100,-11.4767
950201,-87111,-11.4721
955203,-87123,-12.5150
960203,-87134,-11.4767
965204,-87146,-12.5175
970204,-87157,-11.4767
975206,-87168,-11.4721
980207,-87180,-12.5175
985208,-87191,-11.4744
990209,-87203,-12.5175
995210,-87214,-11.4744
1000212,-87226,-12.5150
1005212,-87237,-11.4767
1010213,-87248,-11.4744
1015214,-87260,-12.5175
1020215,-87271,-11.4744
1025215,-87283,-12.5200
1030215,-87294,-11.4767
1035215,-87306,-12.5200
1040216,-87317,-11.4744
1045217,-87329,-12.5175
1050218,-87341,-12.5175
1055220,-87352,-11.4721
1060222,-87364,-12.5150
1065222,-87375,-11.4767
1070223,-87387,-12.5175
1075223,-87399,-12.5200
1080225,-87410,-11.4721
1085225,-87422,-12.5200
1090228,-87434,-12.5125
1095230,-87445,-11.4721
1100231,-87457,-12.5175
1105231,-87469,-12.5200
1110231,-87480,-11.4767
1115233,-87492,-12.5150
1120234,-87504,-12.5175
1125236,-87515,-11.4721
1130238,-87527,-12.5150
1135238,-87539,-12.5200
1140241,-87550,-11.4698
1145242,-87562,-12.5175
1150244,-87574,-12.5150
1155245,-87586,-12.5175
1160247,-87597,-11.4721
1165248,-87609,-12.5175
1170249,-87621,-12.5175
1175250,-87632,-11.4744
1180250,-87644,-12.5200
1185250,-87656,-12.5200
1190252,-87667,-11.4721
1195254,-87679,-12.5150
1200257,-87691,-12.5125
1205260,-87703,-12.5125
1210263,-87715,-12.5125
1215264,-87726,-11.4744
1220266,-87738,-12.5150
1225266,-87750,-12.5200
1230266,-87761,-11.4767
1235268,-87773,-12.5150
1240269,-87785,-12.5175
1245271,-87796,-11.4721
1250273,-87808,-12.5150
1255276,-87819,-11.4698
1260277,-87831,-12.5175
1265277,-87842,-11.4767
1270279,-87854,-12.5150
1275280,-87865,-11.4744
1280282,-87876,-11.4721
1285282,-87888,-12.5200
1290284,-87899,-11.4721
1295285,-87910,-11.4744
1300285,-87922,-12.5200
1305287,-87933,-11.4721
1310289,-87944,-11.4721
1315292,-87955,-11.4698
1320293,-87966,-11.4744
1325293,-87977,-11.4767
1330295,-87989,-12.5150
1335296,-88000,-11.4744
1340298,-88011,-11.4721
1345298,-88022,-11.4767
1350299,-88033,-11.4744
1355300,-88045,-12.5175
1360301,-88056,-11.4744
1365301,-88067,-11.4767
1370303,-88078,-11.4721
1375305,-88090,-12.5150
1380307,-88101,-11.4721
1385309,-88112,-11.4721
1390309,-88123,-11.4767
1395310,-88135,-12.5175
1400312,-88146,-11.4721
1405314,-88157,-11.4721
1410314,-88169,-12.5200
1415315,-88180,-11.4744
1420317,-88192,-12.5150
1425317,-88203,-11.4767
1430318,-88215,-12.5175
1435319,-88226,-11.4744
1440320,-88238,-12.5175
1445322,-88249,-11.4721
1450324,-88261,-12.5150
1455327,-88272,-11.4698
1460328,-88284,-12.5175
1465328,-88295,-11.4767
1470329,-88307,-12.5175
1475331,-88318,-11.4721
1480333,-88330,-12.5150
1485333,-88342,-12.5200
1490333,-88353,-11.4767
1495334,-88365,-12.5175
1500336,-88377,-12.5150
1505338,-88388,-11.4721
1510339,-88400,-12.5175
1515339,-88412,-12.5200
1520339,-88423,-11.4767
1525341,-88435,-12.5150
1530342,-88447,-12.5175
1535344,-88459,-12.5150
1540345,-88471,-12.5175
1545347,-88482,-11.4721
1550349,-88494,-12.5150
1555349,-88506,-12.5200
1560349,-88518,-12.5200
1565352,-88530,-12.5125
1570353,-88541,-11.4744
1575355,-88553,-12.5150
1580355,-88565,-12.5200
1585355,-88577,-12.5200
1590355,-88589,-12.5200
1595357,-88601,-12.5150
1600358,-88613,-12.5175
1605360,-88625,-12.5150
1610361,-88637,-12.5175
1615363,-88649,-12.5150
1620364,-88661,-12.5175
1625366,-88673,-12.5150
1630368,-88685,-12.5150
1635369,-88697,-12.5175
1640371,-88709,-12.5150
1645373,-88720,-11.4721
1650374,-88732,-12.5175
1655374,-88744,-12.5200
1660374,-88756,-12.5200
1665374,-88768,-12.5200
1670376,-88780,-12.5150
1675377,-88792,-12.5175
1680379,-88804,-12.5150
1685380,-88816,-12.5175
1690382,-88828,-12.5150
1695384,-88840,-12.5150
1700385,-88852,-12.5175
1705387,-88864,-12.5150
1710388,-88876,-12.5175
1715390,-88888,-12.5150
1720392,-88899,-11.4721
1725394,-88911,-12.5150
1730396,-88923,-12.5150
1735396,-88935,-12.5200
1740396,-88947,-12.5200
1745398,-88959,-12.5150
1750399,-88971,-12.5175
1755401,-88983,-12.5150
1760403,-88995,-12.5150
1765404,-89007,-12.5175
1770406,-89019,-12.5150
1775408,-89030,-11.4721
1780409,-89042,-12.5175
1785409,-89054,-12.5200
1790409,-89066,-12.5200
1795409,-89077,-11.4767
1800409,-89089,-12.5200
1805410,-89100,-11.4744
1810411,-89112,-12.5175
1815412,-89123,-11.4744
1820413,-89135,-12.5175
1825413,-89146,-11.4767
1830414,-89158,-12.5175
1835415,-89169,-11.4744
1840416,-89180,-11.4744
1845417,-89192,-12.5175
1850418,-89203,-11.4744
1855420,-89214,-11.4721
1860420,-89226,-12.5200
1865422,-89237,-11.4721
1870422,-89249,-12.5200
1875422,-89260,-11.4767
1880422,-89271,-11.4767
1885423,-89283,-12.5175
1890425,-89294,-11.4721
1895426,-89306,-12.5175
1900427,-89317,-11.4744
1905428,-89329,-12.5175
1910430,-89341,-12.5150
1915431,-89352,-11.4744
1920433,-89364,-12.5150
1925433,-89375,-11.4767
1930434,-89387,-12.5175
1935436,-89398,-11.4721
1940438,-89410,-12.5150
1945438,-89422,-12.5200
1950438,-89434,-12.5200
1955441,-89445,-11.4698
1960441,-89457,-12.5200
1965442,-89469,-12.5175
1970443,-89480,-11.4744
1975444,-89492,-12.5175
1980446,-89504,-12.5150
1985447,-89516,-12.5175
1990449,-89527,-11.4721
1995451,-89539,-12.5150
2000454,-89551,-12.5125
2005457,-89563,-12.5125
2010457,-89575,-12.5200
2015458,-89587,-12.5175
2020460,-89599,-12.5150
2025462,-89611,-12.5150
2030463,-89623,-12.5175
2035465,-89635,-12.5150
2040466,-89647,-12.5175
2045468,-89659,-12.5150
2050469,-89671,-12.5175
2055471,-89683,-12.5150
2060473,-89695,-12.5150
2065474,-89707,-12.5175
2070476,-89719,-12.5150
2075477,-89731,-12.5175
2080479,-89743,-12.5150
2085481,-89755,-12.5150
2090482,-89767,-12.5175
2095484,-89779,-12.5150
2100485,-89791,-12.5175
2105487,-89803,-12.5150
2110488,-89815,-12.5175
2115490,-89827,-12.5150
2120492,-89839,-12.5150
2125493,-89851,-12.5175
2130495,-89863,-12.5150
2135497,-89876,-13.5580
2140498,-89888,-12.5175
2145500,-89900,-12.5150
2150501,-89912,-12.5175
2155503,-89924,-12.5150
2160504,-89936,-12.5175
2165506,-89948,-12.5150
2170507,-89961,-13.5607
2175509,-89973,-12.5150
2180511,-89985,-12.5150
2185512,-89997,-12.5175
2190514,-90009,-12.5150
2195516,-90022,-13.5580
2200517,-90034,-12.5175
2205519,-90046,-12.5150
2210520,-90058,-12.5175
2215522,-90070,-12.5150
2220523,-90082,-12.5175
2225525,-90095,-13.5580
2230527,-90107,-12.5150
2235528,-90119,-12.5175
2240530,-90131,-12.5150
