Time(us),Position(counts),Speed(rad/s)
2,-304621,0.0000
5002,-304622,1.0433
10003,-304622,0.0000
15005,-304622,0.0000
20007,-304623,1.0429
25007,-304624,1.0433
30009,-304624,0.0000
35010,-304625,1.0431
40012,-304626,1.0429
45013,-304628,2.0863
50015,-304629,1.0429
55016,-304631,2.0863
60016,-304633,2.0867
65018,-304635,2.0858
70020,-304637,2.0858
75021,-304639,2.0863
80023,-304642,3.1288
85023,-304644,2.0867
90024,-304647,3.1294
95026,-304650,3.1288
100027,-304652,2.0863
105029,-304656,4.1717
110029,-304658,2.0867
115031,-304662,4.1717
120032,-304665,3.1294
125034,-304669,4.1717
130035,-304672,3.1294
135036,-304676,4.1725
140037,-304680,4.1725
145039,-304683,3.1288
150040,-304687,4.1725
155042,-304691,4.1717
160042,-304695,4.1733
165044,-304700,5.2146
170045,-304704,4.1725
175047,-304708,4.1717
180048,-304712,4.1725
185050,-304717,5.2146
190051,-304721,4.1725
195052,-304726,5.2156
200053,-304731,5.2156
205055,-304735,4.1717
210056,-304740,5.2156
215058,-304745,5.2146
220060,-304750,5.2146
225061,-304755,5.2156
230063,-304760,5.2146
235064,-304765,5.2156
240066,-304770,5.2146
245068,-304775,5.2146
250069,-304780,5.2156
255071,-304785,5.2146
260072,-304790,5.2156
265074,-304796,6.2575
270076,-304801,5.2146
275077,-304806,5.2156
280079,-304812,6.2575
285080,-304818,6.2588
290082,-304823,5.2146
295083,-304829,6.2588
300083,-304835,6.2600
305085,-304840,5.2146
310087,-304846,6.2575
315088,-304852,6.2588
320090,-304858,6.2575
325091,-304864,6.2588
330093,-304870,6.2575
335093,-304876,6.2600
340095,-304882,6.2575
345096,-304888,6.2588
350098,-304895,7.3004
355099,-304901,6.2588
360099,-304907,6.2600
365101,-304914,7.3004
370103,-304920,6.2575
375104,-304926,6.2588
380105,-304933,7.3019
385106,-304939,6.2588
390107,-304946,7.3019
395109,-304952,6.2575
400110,-304959,7.3019
405112,-304966,7.3004
410112,-304972,6.2600
415114,-304979,7.3004
420115,-304985,6.2588
425117,-304992,7.3004
430118,-304999,7.3019
435119,-305006,7.3019
440120,-305012,6.2588
445122,-305019,7.3004
450123,-305026,7.3019
455125,-305033,7.3004
460125,-305040,7.3034
465127,-305046,6.2575
470128,-305053,7.3019
475129,-305060,7.3019
480131,-305067,7.3004
485131,-305074,7.3034
490133,-305081,7.3004
495134,-305088,7.3019
500136,-305095,7.3004
505137,-305102,7.3019
510138,-305109,7.3019
515139,-305116,7.3019
520141,-305123,7.3004
525142,-305130,7.3019
530144,-305137,7.3004
535144,-305144,7.3034
540146,-305151,7.3004
545147,-305158,7.3019
550149,-305165,7.3004
555150,-305172,7.3019
560150,-305180,8.3467
565152,-305186,6.2575
570154,-305193,7.3004
575155,-305200,7.3019
580157,-305206,6.2575
585157,-305213,7.3034
590158,-305219,6.2588
595160,-305226,7.3004
600161,-305232,6.2588
605163,-305239,7.3004
610163,-305246,7.3034
615165,-305252,6.2575
620166,-305259,7.3019
625168,-305265,6.2575
630169,-305272,7.3019
635170,-305278,6.2588
640171,-305285,7.3019
645173,-305292,7.3004
650174,-305298,6.2588
655176,-305305,7.3004
660176,-305311,6.2600
665178,-305318,7.3004
670179,-305324,6.2588
675181,-305331,7.3004
680182,-305337,6.2588
685182,-305344,7.3034
690184,-305350,6.2575
695185,-305356,6.2588
700187,-305363,7.3004
705188,-305369,6.2588
710189,-305375,6.2588
715190,-305381,6.2588
720192,-305388,7.3004
725193,-305394,6.2588
730195,-305400,6.2575
735195,-305406,6.2600
740197,-305412,6.2575
745198,-305418,6.2588
750200,-305425,7.3004
755201,-305431,6.2588
760202,-305437,6.2588
765203,-305443,6.2588
770205,-305449,6.2575
775206,-305456,7.3019
780208,-305462,6.2575
785208,-305468,6.2600
790210,-305474,6.2575
795211,-305480,6.2588
800212,-305486,6.2588
805214,-305492,6.2575
810214,-305499,7.3034
815216,-305505,6.2575
820217,-305511,6.2588
825219,-305517,6.2575
830220,-305524,7.3019
835221,-305530,6.2588
840222,-305536,6.2588
845224,-305542,6.2575
850225,-305548,6.2588
855227,-305555,7.3004
860227,-305561,6.2600
865229,-305567,6.2575
870230,-305574,7.3019
875232,-305580,6.2575
880233,-305586,6.2588
885233,-305593,7.3034
890235,-305599,6.2575
895237,-305606,7.3004
900238,-305612,6.2588
905239,-305618,6.2588
910240,-305625,7.3019
915241,-305632,7.3019
920243,-305638,6.2575
925244,-305644,6.2588
930246,-305651,7.3004
935246,-305657,6.2600
940248,-305664,7.3004
945249,-305670,6.2588
950251,-305677,7.3004
955252,-305684,7.3019
960253,-305690,6.2588
965254,-305696,6.2588
970256,-305703,7.3004
975257,-305710,7.3019
980259,-305716,6.2575
985259,-305723,7.3034
990261,-305729,6.2575
995262,-305736,7.3019
1000263,-305742,6.2588
1005265,-305749,7.3004
1010265,-305755,6.2600
1015267,-305762,7.3004
1020268,-305768,6.2588
1025270,-305775,7.3004
1030271,-305781,6.2588
1035272,-305788,7.3019
1040273,-305795,7.3019
1045275,-305801,6.2575
1050276,-305808,7.3019
1055278,-305814,6.2575
1060278,-305821,7.3034
1065280,-305828,7.3004
1070281,-305835,7.3019
1075283,-305841,6.2575
1080284,-305848,7.3019
1085284,-305855,7.3034
1090286,-305862,7.3004
1095288,-305869,7.3004
1100289,-305876,7.3019
1105291,-305883,7.3004
1110291,-305890,7.3034
1115292,-305896,6.2588
1120294,-305903,7.3004
1125295,-305910,7.3019
1130297,-305917,7.3004
1135297,-305924,7.3034
1140299,-305931,7.3004
1145300,-305938,7.3019
1150302,-305945,7.3004
1155303,-305952,7.3019
1160304,-305959,7.3019
1165305,-305966,7.3019
1170307,-305974,8.3434
1175308,-305981,7.3019
1180310,-305988,7.3004
1185310,-305994,6.2600
1190312,-306002,8.3434
1195313,-306008,6.2588
