Time(us),Position(counts),Speed(rad/s)
2,-110330,0.0000
5004,-110331,-1.0429
10004,-110332,-1.0433
15005,-110333,-1.0431
20006,-110336,-3.1294
25009,-110338,-2.0854
30012,-110342,-4.1708
35012,-110345,-3.1300
40013,-110350,-5.2156
45015,-110354,-4.1717
50015,-110359,-5.2167
55016,-110365,-6.2588
60017,-110371,-6.2588
65018,-110377,-6.2588
70019,-110383,-6.2588
75020,-110390,-7.3019
80021,-110397,-7.3019
85023,-110404,-7.3004
90023,-110412,-8.3467
95025,-110420,-8.3434
100026,-110428,-8.3450
105026,-110436,-8.3467
110028,-110444,-8.3434
115029,-110453,-9.3882
120030,-110462,-9.3882
125031,-110471,-9.3882
130032,-110480,-9.3882
135033,-110490,-10.4313
140034,-110499,-9.3882
145036,-110509,-10.4292
150038,-110519,-10.4292
155041,-110529,-10.4271
160042,-110539,-10.4313
165042,-110550,-11.4767
170043,-110560,-10.4313
175045,-110570,-10.4292
180045,-110581,-11.4767
185047,-110592,-11.4721
190048,-110602,-10.4313
195049,-110613,-11.4744
200050,-110624,-11.4744
205051,-110635,-11.4744
210052,-110646,-11.4744
215053,-110657,-11.4744
220054,-110668,-11.4744
225055,-110679,-11.4744
230056,-110690,-11.4744
235058,-110702,-12.5150
240058,-110713,-11.4767
245059,-110724,-11.4744
250061,-110736,-12.5150
255061,-110747,-11.4767
260062,-110758,-11.4744
265064,-110770,-12.5150
270064,-110781,-11.4767
275066,-110793,-12.5150
280067,-110804,-11.4744
285069,-110816,-12.5150
290069,-110827,-11.4767
295070,-110839,-12.5175
300071,-110850,-11.4744
305072,-110862,-12.5175
310074,-110873,-11.4721
315076,-110885,-12.5150
320079,-110896,-11.4698
325080,-110908,-12.5175
330080,-110920,-12.5200
335082,-110932,-12.5150
340083,-110943,-11.4744
345084,-110955,-12.5175
350085,-110967,-12.5175
355086,-110979,-12.5175
360087,-110991,-12.5175
365088,-111003,-12.5175
370089,-111014,-11.4744
375090,-111026,-12.5175
380091,-111038,-12.5175
385093,-111050,-12.5150
390093,-111062,-12.5200
395095,-111075,-13.5580
400096,-111087,-12.5175
405096,-111099,-12.5200
410098,-111111,-12.5150
415099,-111123,-12.5175
420099,-111136,-13.5634
425101,-111148,-12.5150
430102,-111160,-12.5175
435103,-111172,-12.5175
440104,-111185,-13.5607
445105,-111197,-12.5175
450106,-111209,-12.5175
455107,-111222,-13.5607
460108,-111234,-12.5175
465109,-111247,-13.5607
470110,-111259,-12.5175
475112,-111272,-13.5580
480112,-111284,-12.5200
485114,-111297,-13.5580
490115,-111310,-13.5607
495115,-111322,-12.5200
500117,-111335,-13.5580
505118,-111348,-13.5607
510119,-111360,-12.5175
515120,-111373,-13.5607
520121,-111386,-13.5607
525122,-111399,-13.5607
530123,-111411,-12.5175
535124,-111424,-13.5607
540125,-111437,-13.5607
545126,-111450,-13.5607
550128,-111463,-13.5580
555128,-111476,-13.5634
560130,-111489,-13.5580
565131,-111502,-13.5607
570131,-111515,-13.5634
575133,-111528,-13.5580
580134,-111541,-13.5607
585134,-111554,-13.5634
590136,-111567,-13.5580
595137,-111580,-13.5607
600138,-111593,-13.5607
605139,-111606,-13.5607
610140,-111619,-13.5607
615141,-111633,-14.6038
620142,-111646,-13.5607
625143,-111659,-13.5607
630144,-111672,-13.5607
635145,-111685,-13.5607
640147,-111698,-13.5580
645147,-111711,-13.5634
650149,-111725,-14.6009
655150,-111738,-13.5607
660150,-111751,-13.5634
665152,-111764,-13.5580
670153,-111777,-13.5607
675153,-111790,-13.5634
680155,-111803,-13.5580
685156,-111817,-14.6038
690157,-111830,-13.5607
695158,-111843,-13.5607
700159,-111856,-13.5607
705160,-111869,-13.5607
710161,-111882,-13.5607
715163,-111895,-13.5580
720163,-111908,-13.5634
725164,-111921,-13.5607
730166,-111934,-13.5580
735166,-111947,-13.5634
740168,-111960,-13.5580
745169,-111973,-13.5607
750169,-111986,-13.5634
755171,-111999,-13.5580
760172,-112012,-13.5607
765173,-112025,-13.5607
770174,-112037,-12.5175
775175,-112050,-13.5607
780176,-112063,-13.5607
785177,-112076,-13.5607
790178,-112089,-13.5607
795179,-112101,-12.5175
800180,-112114,-13.5607
805182,-112127,-13.5580
810182,-112140,-13.5634
815184,-112153,-13.5580
820185,-112166,-13.5607
825185,-112179,-13.5634
830187,-112192,-13.5580
835188,-112205,-13.5607
840188,-112217,-12.5200
845190,-112231,-14.6009
850191,-112244,-13.5607
855192,-112257,-13.5607
860193,-112270,-13.5607
865194,-112283,-13.5607
870195,-112296,-13.5607
875196,-112309,-13.5607
880197,-112322,-13.5607
885198,-112335,-13.5607
890199,-112348,-13.5607
895201,-112361,-13.5580
900201,-112374,-13.5634
905203,-112387,-13.5580
910204,-112400,-13.5607
915204,-112414,-14.6067
920206,-112427,-13.5580
925207,-112440,-13.5607
930208,-112453,-13.5607
935209,-112466,-13.5607
940210,-112479,-13.5607
945211,-112493,-14.6038
950212,-112506,-13.5607
955213,-112519,-13.5607
960214,-112532,-13.5607
965215,-112545,-13.5607
970217,-112559,-14.6009
975217,-112572,-13.5634
980219,-112585,-13.5580
985220,-112598,-13.5607
990220,-112611,-13.5634
995222,-112625,-14.6009
1000223,-112638,-13.5607
1005223,-112651,-13.5634
1010225,-112664,-13.5580
1015226,-112678,-14.6038
1020227,-112691,-13.5607
1025228,-112704,-13.5607
1030229,-112717,-13.5607
1035230,-112730,-13.5607
1040231,-112744,-14.6038
1045232,-112757,-13.5607
1050233,-112770,-13.5607
1055234,-112784,-14.6038
1060236,-112797,-13.5580
1065236,-112810,-13.5634
1070238,-112824,-14.6009
1075239,-112837,-13.5607
1080239,-112850,-13.5634
1085241,-112864,-14.6009
1090242,-112877,-13.5607
1095242,-112890,-13.5634
1100244,-112904,-14.6009
1105245,-112917,-13.5607
1110246,-112931,-14.6038
1115247,-112944,-13.5607
1120248,-112957,-13.5607
1125249,-112971,-14.6038
1130250,-112984,-13.5607
1135252,-112998,-14.6009
1140252,-113011,-13.5634
1145253,-113024,-13.5607
1150255,-113038,-14.6009
1155255,-113051,-13.5634
1160257,-113064,-13.5580
1165258,-113078,-14.6038
1170258,-113091,-13.5634
1175260,-113104,-13.5580
1180261,-113118,-14.6038
1185262,-113131,-13.5607
1190263,-113144,-13.5607
1195264,-113158,-14.6038
1200265,-113171,-13.5607
1205266,-113184,-13.5607
1210267,-113197,-13.5607
1215268,-113210,-13.5607
1220269,-113223,-13.5607
1225271,-113236,-13.5580
1230271,-113249,-13.5634
1235273,-113262,-13.5580
1240274,-113275,-13.5607
1245274,-113288,-13.5634
1250276,-113300,-12.5150
1255277,-113313,-13.5607
1260277,-113326,-13.5634
1265279,-113339,-13.5580
1270280,-113352,-13.5607
1275281,-113365,-13.5607
1280282,-113378,-13.5607
1285283,-113391,-13.5607
1290284,-113403,-12.5175
1295285,-113416,-13.5607
1300286,-113429,-13.5607
1305287,-113442,-13.5607
1310288,-113455,-13.5607
1315290,-113468,-13.5580
1320290,-113481,-13.5634
1325292,-113494,-13.5580
1330293,-113507,-13.5607
1335293,-113520,-13.5634
1340295,-113533,-13.5580
1345296,-113546,-13.5607
1350297,-113559,-13.5607
1355298,-113572,-13.5607
1360299,-113585,-13.5607
1365300,-113598,-13.5607
1370301,-113611,-13.5607
1375302,-113624,-13.5607
1380303,-113638,-14.6038
1385304,-113651,-13.5607
1390306,-113664,-13.5580
1395306,-113677,-13.5634
1400308,-113690,-13.5580
1405309,-113703,-13.5607
1410309,-113716,-13.5634
1415311,-113730,-14.6009
1420312,-113743,-13.5607
1425312,-113756,-13.5634
1430314,-113769,-13.5580
1435315,-113782,-13.5607
