Time(us),Position(counts),Speed(rad/s)
2,-162722,0.0000
5002,-162723,1.0433
10004,-162726,3.1288
15005,-162732,6.2588
20007,-162738,6.2575
25007,-162747,9.3900
30009,-162757,10.4292
35010,-162768,11.4744
40012,-162780,12.5150
45013,-162793,13.5607
50015,-162807,14.6009
55016,-162822,15.6469
60016,-162838,16.6934
65018,-162854,16.6867
70020,-162872,18.7726
75021,-162889,17.7332
80023,-162907,18.7726
85023,-162926,19.8234
90024,-162945,19.8194
95026,-162964,19.8155
100028,-162984,20.8584
105029,-163004,20.8626
110031,-163024,20.8584
115032,-163045,21.9057
120034,-163066,21.9013
125036,-163087,21.9013
130037,-163108,21.9057
135039,-163130,22.9442
140040,-163152,22.9488
145042,-163174,22.9442
150044,-163196,22.9442
155045,-163218,22.9488
160047,-163240,22.9442
165048,-163262,22.9488
170050,-163284,22.9442
175052,-163307,23.9872
180053,-163329,22.9488
185055,-163352,23.9872
190056,-163374,22.9488
195058,-163396,22.9442
200060,-163419,23.9872
205061,-163441,22.9488
210063,-163464,23.9872
215064,-163486,22.9488
220066,-163509,23.9872
225068,-163532,23.9872
230069,-163554,22.9488
235071,-163577,23.9872
240072,-163600,23.9920
245074,-163623,23.9872
250076,-163646,23.9872
255077,-163668,22.9488
260079,-163692,25.0301
265080,-163714,22.9488
270082,-163737,23.9872
275083,-163760,23.9920
280085,-163784,25.0301
285087,-163807,23.9872
290088,-163830,23.9920
295090,-163853,23.9872
300091,-163877,25.0351
305093,-163900,23.9872
310095,-163924,25.0301
315096,-163948,25.0351
320098,-163971,23.9872
325099,-163995,25.0351
330099,-164018,23.9968
335101,-164042,25.0301
340103,-164066,25.0301
345104,-164090,25.0351
350105,-164114,25.0351
355106,-164138,25.0351
360107,-164162,25.0351
365109,-164185,23.9872
370111,-164209,25.0301
375112,-164233,25.0351
380114,-164257,25.0301
385115,-164280,23.9920
390115,-164304,25.0401
395117,-164328,25.0301
400118,-164351,23.9920
405120,-164375,25.0301
410122,-164399,25.0301
415123,-164422,23.9920
420125,-164446,25.0301
425125,-164470,25.0401
430127,-164493,23.9872
435128,-164517,25.0351
440130,-164540,23.9872
445131,-164564,25.0351
450133,-164587,23.9872
455135,-164611,25.0301
460136,-164634,23.9920
465138,-164658,25.0301
470139,-164682,25.0351
475141,-164705,23.9872
480143,-164729,25.0301
485144,-164752,23.9920
490146,-164776,25.0301
495147,-164800,25.0351
500149,-164824,25.0301
505150,-164848,25.0351
510150,-164871,23.9968
515152,-164895,25.0301
520154,-164919,25.0301
525155,-164942,23.9920
530157,-164966,25.0301
535157,-164990,25.0401
540158,-165014,25.0351
545160,-165038,25.0301
550161,-165062,25.0351
555163,-165086,25.0301
560163,-165110,25.0401
565165,-165134,25.0301
570166,-165157,23.9920
575168,-165181,25.0301
580170,-165205,25.0301
585171,-165229,25.0351
590172,-165253,25.0351
595173,-165277,25.0351
600174,-165301,25.0351
605176,-165325,25.0301
610177,-165348,23.9920
615179,-165372,25.0301
620179,-165396,25.0401
625181,-165420,25.0301
630182,-165444,25.0351
635184,-165468,25.0301
640185,-165492,25.0351
645186,-165515,23.9920
650187,-165539,25.0351
655189,-165563,25.0301
660190,-165586,23.9920
665192,-165610,25.0301
670192,-165634,25.0401
675194,-165657,23.9872
680195,-165681,25.0351
685197,-165704,23.9872
690198,-165728,25.0351
695200,-165751,23.9872
700202,-165775,25.0301
705203,-165799,25.0351
710205,-165822,23.9872
715206,-165846,25.0351
