Time(us),Position(counts),Speed(rad/s)
2,-330339,0.0000
5002,-330339,0.0000
10003,-330341,2.0863
15004,-330344,3.1294
20005,-330348,4.1725
25007,-330352,4.1717
30008,-330358,6.2588
35010,-330364,6.2575
40010,-330372,8.3467
45012,-330380,8.3434
50013,-330388,8.3450
55015,-330397,9.3863
60016,-330407,10.4313
65016,-330417,10.4334
70018,-330427,10.4292
75020,-330438,11.4721
80021,-330450,12.5175
85023,-330461,11.4721
90024,-330473,12.5175
95026,-330486,13.5580
100027,-330498,12.5175
105029,-330512,14.6009
110029,-330525,13.5634
115031,-330538,13.5580
120032,-330552,14.6038
125034,-330566,14.6009
130035,-330581,15.6469
135036,-330596,15.6469
140037,-330610,14.6038
145039,-330626,16.6867
150040,-330641,15.6469
155042,-330656,15.6438
160042,-330672,16.6934
165044,-330687,15.6438
170045,-330703,16.6901
175047,-330719,16.6867
180048,-330736,17.7332
185048,-330752,16.6934
190050,-330768,16.6867
195051,-330785,17.7332
200053,-330802,17.7296
205054,-330819,17.7332
210055,-330836,17.7332
215056,-330853,17.7332
220058,-330870,17.7296
225059,-330887,17.7332
230061,-330904,17.7296
235061,-330922,18.7801
240063,-330940,18.7726
245064,-330957,17.7332
250066,-330975,18.7726
255067,-330993,18.7763
260068,-331010,17.7332
265069,-331028,18.7763
270071,-331046,18.7726
275072,-331065,19.8194
280074,-331083,18.7726
285074,-331101,18.7801
290076,-331120,19.8155
295077,-331138,18.7763
300079,-331157,19.8155
305080,-331175,18.7763
310082,-331194,19.8155
315083,-331213,19.8194
320085,-331232,19.8155
325087,-331251,19.8155
330088,-331270,19.8194
335090,-331289,19.8155
340091,-331308,19.8194
345093,-331327,19.8155
350095,-331346,19.8155
355096,-331366,20.8626
360098,-331385,19.8155
365099,-331405,20.8626
370101,-331424,19.8155
375103,-331444,20.8584
380104,-331464,20.8626
385106,-331483,19.8155
390107,-331503,20.8626
395109,-331522,19.8155
400111,-331542,20.8584
405112,-331562,20.8626
410114,-331582,20.8584
415115,-331602,20.8626
420117,-331622,20.8584
425119,-331642,20.8584
430120,-331662,20.8626
435122,-331682,20.8584
440123,-331702,20.8626
445125,-331722,20.8584
450127,-331742,20.8584
455128,-331762,20.8626
460130,-331782,20.8584
465131,-331802,20.8626
470133,-331822,20.8584
475135,-331842,20.8584
480136,-331862,20.8626
485138,-331881,19.8155
490139,-331901,20.8626
495141,-331920,19.8155
500143,-331940,20.8584
505144,-331959,19.8194
510146,-331979,20.8584
515147,-331998,19.8194
520149,-332018,20.8584
525150,-332037,19.8194
530152,-332057,20.8584
535154,-332076,19.8155
540155,-332096,20.8626
545157,-332115,19.8155
550158,-332134,19.8194
555160,-332154,20.8584
560162,-332174,20.8584
565163,-332194,20.8626
570165,-332213,19.8155
575166,-332233,20.8626
580168,-332253,20.8584
585170,-332273,20.8584
590171,-332293,20.8626
595173,-332313,20.8584
600174,-332334,21.9057
605176,-332354,20.8584
610178,-332374,20.8584
615179,-332394,20.8626
620181,-332415,21.9013
625182,-332435,20.8626
630184,-332456,21.9013
635186,-332476,20.8584
640187,-332496,20.8626
645189,-332517,21.9013
650190,-332537,20.8626
655192,-332558,21.9013
660194,-332578,20.8584
665195,-332599,21.9057
670197,-332619,20.8584
675198,-332640,21.9057
680200,-332660,20.8584
685202,-332681,21.9013
690203,-332702,21.9057
695205,-332722,20.8584
700206,-332743,21.9057
705208,-332764,21.9013
710210,-332784,20.8584
715211,-332805,21.9057
720213,-332826,21.9013
725214,-332846,20.8626
730216,-332867,21.9013
735217,-332888,21.9057
740219,-332908,20.8584
745221,-332928,20.8584
750222,-332949,21.9057
755224,-332969,20.8584
760225,-332989,20.8626
765227,-333009,20.8584
770229,-333030,21.9013
775230,-333050,20.8626
780232,-333070,20.8584
785233,-333090,20.8626
790235,-333110,20.8584
795237,-333131,21.9013
800238,-333151,20.8626
805240,-333171,20.8584
810241,-333191,20.8626
815243,-333211,20.8584
820245,-333232,21.9013
825246,-333252,20.8626
830248,-333272,20.8584
835249,-333292,20.8626
840251,-333312,20.8584
845253,-333332,20.8584
850254,-333352,20.8626
855256,-333372,20.8584
860257,-333392,20.8626
865259,-333412,20.8584
870261,-333432,20.8584
875262,-333452,20.8626
880264,-333472,20.8584
885265,-333492,20.8626
890267,-333512,20.8584
895269,-333532,20.8584
900270,-333552,20.8626
905272,-333572,20.8584
910273,-333592,20.8626
915275,-333612,20.8584
920277,-333632,20.8584
925278,-333652,20.8626
930280,-333672,20.8584
935281,-333692,20.8626
940283,-333712,20.8584
945284,-333732,20.8626
950286,-333752,20.8584
955288,-333772,20.8584
960289,-333792,20.8626
965291,-333812,20.8584
970292,-333832,20.8626
975294,-333852,20.8584
980296,-333872,20.8584
985297,-333892,20.8626
990299,-333912,20.8584
995300,-333932,20.8626
1000302,-333952,20.8584
1005304,-333972,20.8584
1010305,-333992,20.8626
1015307,-334012,20.8584
1020308,-334032,20.8626
1025310,-334052,20.8584
1030312,-334072,20.8584
1035313,-334092,20.8626
1040315,-334112,20.8584
1045316,-334132,20.8626
1050318,-334152,20.8584
1055320,-334172,20.8584
1060321,-334192,20.8626
1065323,-334212,20.8584
1070324,-334232,20.8626
1075326,-334252,20.8584
1080328,-334272,20.8584
1085329,-334292,20.8626
1090331,-334312,20.8584
1095332,-334332,20.8626
1100334,-334352,20.8584
1105336,-334372,20.8584
1110337,-334392,20.8626
1115339,-334412,20.8584
1120340,-334432,20.8626
1125342,-334452,20.8584
1130344,-334472,20.8584
1135345,-334492,20.8626
1140347,-334512,20.8584
1145348,-334532,20.8626
1150350,-334552,20.8584
1155351,-334572,20.8626
1160353,-334592,20.8584
1165355,-334612,20.8584
1170356,-334632,20.8626
1175358,-334652,20.8584
1180359,-334673,21.9057
1185361,-334693,20.8584
1190363,-334713,20.8584
1195364,-334733,20.8626
1200366,-334753,20.8584
1205367,-334773,20.8626
1210369,-334793,20.8584
1215371,-334813,20.8584
1220372,-334832,19.8194
1225374,-334852,20.8584
1230375,-334872,20.8626
1235377,-334892,20.8584
1240379,-334912,20.8584
1245380,-334932,20.8626
1250382,-334952,20.8584
1255383,-334972,20.8626
1260385,-334992,20.8584
