Time(us),Position(counts),Speed(rad/s)
2,-287122,0.0000
5002,-287122,0.0000
10004,-287122,0.0000
15007,-287122,0.0000
20008,-287122,0.0000
25010,-287122,0.0000
30011,-287122,0.0000
35013,-287122,0.0000
40015,-287122,0.0000
45016,-287122,0.0000
50018,-287122,0.0000
55019,-287122,0.0000
60021,-287122,0.0000
65023,-287122,0.0000
70024,-287122,0.0000
75026,-287122,0.0000
80027,-287122,0.0000
85029,-287122,0.0000
90031,-287122,0.0000
95032,-287122,0.0000
100034,-287122,0.0000
105035,-287122,0.0000
110037,-287122,0.0000
115038,-287122,0.0000
120040,-287122,0.0000
125042,-287122,0.0000
130043,-287122,0.0000
135045,-287122,0.0000
140047,-287122,0.0000
145048,-287122,0.0000
150050,-287122,0.0000
155051,-287122,0.0000
160053,-287122,0.0000
165054,-287122,0.0000
170056,-287122,0.0000
175058,-287122,0.0000
180059,-287122,0.0000
185061,-287122,0.0000
190062,-287122,0.0000
195064,-287122,0.0000
200066,-287123,1.0429
205067,-287123,0.0000
210069,-287123,0.0000
215070,-287123,0.0000
220072,-287123,0.0000
225074,-287123,0.0000
230075,-287123,0.0000
235077,-287123,0.0000
240078,-287123,0.0000
245080,-287123,0.0000
250082,-287123,0.0000
255083,-287123,0.0000
260085,-287123,0.0000
265086,-287123,0.0000
270088,-287123,0.0000
275090,-287123,0.0000
280091,-287123,0.0000
285093,-287123,0.0000
290094,-287123,0.0000
295096,-287123,0.0000
300098,-287123,0.0000
305099,-287123,0.0000
310101,-287123,0.0000
315102,-287123,0.0000
320104,-287123,0.0000
325105,-287123,0.0000
330107,-287123,0.0000
335109,-287123,0.0000
340110,-287123,0.0000
345112,-287123,0.0000
350114,-287123,0.0000
355115,-287123,0.0000
360117,-287123,0.0000
365118,-287123,0.0000
370120,-287124,1.0429
375121,-287124,0.0000
380123,-287124,0.0000
385125,-287125,1.0429
390125,-287126,1.0433
395127,-287127,1.0429
400128,-287128,1.0431
405129,-287129,1.0431
410131,-287130,1.0429
415131,-287132,2.0867
420133,-287133,1.0429
425134,-287135,2.0863
430136,-287138,3.1288
435137,-287140,2.0863
440138,-287143,3.1294
445139,-287146,3.1294
450141,-287150,4.1717
455142,-287153,3.1294
460144,-287157,4.1717
465144,-287161,4.1733
470146,-287165,4.1717
475147,-287170,5.2156
480149,-287174,4.1717
485150,-287179,5.2156
490152,-287184,5.2146
495154,-287189,5.2146
500155,-287194,5.2156
505157,-287199,5.2146
510158,-287204,5.2156
515160,-287210,6.2575
520161,-287216,6.2588
525163,-287221,5.2146
530163,-287227,6.2600
535165,-287233,6.2575
540166,-287239,6.2588
545168,-287245,6.2575
550169,-287251,6.2588
555170,-287257,6.2588
560171,-287263,6.2588
565173,-287270,7.3004
570174,-287276,6.2588
575176,-287282,6.2575
580176,-287289,7.3034
585178,-287295,6.2575
590179,-287302,7.3019
595181,-287308,6.2575
600182,-287315,7.3019
605182,-287321,6.2600
610184,-287328,7.3004
615185,-287335,7.3019
620187,-287342,7.3004
625188,-287348,6.2588
630189,-287355,7.3019
635190,-287362,7.3019
640192,-287369,7.3004
645193,-287376,7.3019
650195,-287383,7.3004
655195,-287390,7.3034
660197,-287397,7.3004
665198,-287404,7.3019
670200,-287411,7.3004
675201,-287418,7.3019
680202,-287426,8.3450
