Time(us),Position(counts),Speed(rad/s)
2,-136486,0.0000
5002,-136486,0.0000
10004,-136487,1.0429
15005,-136488,1.0431
20007,-136490,2.0858
25008,-136492,2.0863
30010,-136495,3.1288
35010,-136499,4.1733
40012,-136503,4.1717
45013,-136507,4.1725
50015,-136512,5.2146
55016,-136517,5.2156
60016,-136522,5.2167
65018,-136528,6.2575
70020,-136533,5.2146
75021,-136540,7.3019
80023,-136546,6.2575
85024,-136553,7.3019
90026,-136560,7.3004
95026,-136567,7.3034
100028,-136574,7.3004
105029,-136582,8.3450
110031,-136590,8.3434
115032,-136598,8.3450
120032,-136606,8.3467
125034,-136614,8.3434
130036,-136622,8.3434
135037,-136631,9.3882
140038,-136640,9.3882
145039,-136649,9.3882
150040,-136658,9.3882
155042,-136666,8.3434
160043,-136676,10.4313
165045,-136684,8.3434
170045,-136694,10.4334
175047,-136703,9.3863
180048,-136712,9.3882
185050,-136722,10.4292
190051,-136732,10.4313
195052,-136741,9.3882
200053,-136751,10.4313
205055,-136761,10.4292
210056,-136770,9.3882
215058,-136780,10.4292
220060,-136790,10.4292
225061,-136800,10.4313
230063,-136810,10.4292
235064,-136820,10.4313
240066,-136831,11.4721
245067,-136841,10.4313
250069,-136852,11.4721
255071,-136862,10.4292
260072,-136873,11.4744
265074,-136883,10.4292
270076,-136894,11.4721
275077,-136905,11.4744
280079,-136916,11.4721
285080,-136927,11.4744
290082,-136938,11.4721
295083,-136949,11.4744
300085,-136960,11.4721
305087,-136971,11.4721
310088,-136982,11.4744
315090,-136994,12.5150
320091,-137005,11.4744
325093,-137017,12.5150
330093,-137028,11.4767
335095,-137040,12.5150
340096,-137051,11.4744
345098,-137063,12.5150
350099,-137075,12.5175
355101,-137087,12.5150
360102,-137099,12.5175
365103,-137110,11.4744
370104,-137123,13.5607
375106,-137135,12.5150
380107,-137147,12.5175
385109,-137159,12.5150
390109,-137171,12.5200
395111,-137184,13.5580
400112,-137196,12.5175
405114,-137208,12.5150
410115,-137221,13.5607
415115,-137234,13.5634
420117,-137246,12.5150
425118,-137259,13.5607
430120,-137272,13.5580
435121,-137284,12.5175
440122,-137297,13.5607
445123,-137310,13.5607
450125,-137323,13.5580
455126,-137336,13.5607
460128,-137349,13.5580
465128,-137362,13.5634
470130,-137375,13.5580
475131,-137388,13.5607
480133,-137401,13.5580
485134,-137414,13.5607
490135,-137428,14.6038
495136,-137441,13.5607
500138,-137454,13.5580
505139,-137467,13.5607
510141,-137480,13.5580
515141,-137493,13.5634
520143,-137506,13.5580
525144,-137520,14.6038
530145,-137533,13.5607
535147,-137546,13.5580
540147,-137559,13.5634
545149,-137572,13.5580
550150,-137586,14.6038
555152,-137599,13.5580
560153,-137612,13.5607
565154,-137625,13.5607
570155,-137638,13.5607
575157,-137652,14.6009
580158,-137665,13.5607
585160,-137678,13.5580
590160,-137691,13.5634
595162,-137705,14.6009
600163,-137718,13.5607
605165,-137731,13.5580
610166,-137744,13.5607
615166,-137757,13.5634
