Time(us),Position(counts),Speed(rad/s)
2,-243369,0.0000
5002,-243370,1.0433
10003,-243372,2.0863
15004,-243376,4.1725
20005,-243380,4.1725
25007,-243386,6.2575
30008,-243393,7.3019
35010,-243401,8.3434
40010,-243410,9.3900
45012,-243419,9.3863
50013,-243430,11.4744
55015,-243441,11.4721
60016,-243452,11.4744
65018,-243465,13.5580
70020,-243478,13.5580
75021,-243491,13.5607
80023,-243505,14.6009
85023,-243519,14.6067
90024,-243533,14.6038
95026,-243548,15.6438
100027,-243563,15.6469
105029,-243578,15.6438
110029,-243594,16.6934
115031,-243610,16.6867
120032,-243626,16.6901
125034,-243643,17.7296
130035,-243659,16.6901
135036,-243676,17.7332
140037,-243694,18.7763
145039,-243711,17.7296
150040,-243729,18.7763
155042,-243747,18.7726
160042,-243765,18.7801
165044,-243784,19.8155
170045,-243802,18.7763
175047,-243820,18.7726
180048,-243839,19.8194
185050,-243858,19.8155
190051,-243876,18.7763
195053,-243895,19.8155
200054,-243914,19.8194
205055,-243933,19.8194
210056,-243952,19.8194
215058,-243972,20.8584
220060,-243991,19.8155
225061,-244010,19.8194
230063,-244029,19.8155
235064,-244049,20.8626
240066,-244068,19.8155
245068,-244088,20.8584
250069,-244108,20.8626
255071,-244128,20.8584
260072,-244148,20.8626
265074,-244167,19.8155
270076,-244187,20.8584
275077,-244207,20.8626
280079,-244227,20.8584
285080,-244247,20.8626
290082,-244267,20.8584
295083,-244287,20.8626
300085,-244308,21.9013
305087,-244328,20.8584
310088,-244348,20.8626
315090,-244368,20.8584
320091,-244389,21.9057
325093,-244409,20.8584
330095,-244430,21.9013
335096,-244450,20.8626
340098,-244471,21.9013
345099,-244492,21.9057
350101,-244513,21.9013
355103,-244533,20.8584
360104,-244554,21.9057
365106,-244575,21.9013
370107,-244596,21.9057
375109,-244617,21.9013
380111,-244638,21.9013
385112,-244660,22.9488
390114,-244681,21.9013
395115,-244702,21.9057
400117,-244723,21.9013
405119,-244744,21.9013
410120,-244766,22.9488
415122,-244787,21.9013
420123,-244808,21.9057
425125,-244830,22.9442
430127,-244851,21.9013
435128,-244872,21.9057
440130,-244894,22.9442
445131,-244915,21.9057
450133,-244936,21.9013
455135,-244957,21.9013
460136,-244978,21.9057
465138,-244998,20.8584
470139,-245019,21.9057
475141,-245040,21.9013
480143,-245061,21.9013
485144,-245081,20.8626
490146,-245102,21.9013
495147,-245123,21.9057
500149,-245144,21.9013
505150,-245164,20.8626
510152,-245185,21.9013
515154,-245205,20.8584
520155,-245226,21.9057
525157,-245246,20.8584
530158,-245267,21.9057
535160,-245288,21.9013
540162,-245308,20.8584
545163,-245329,21.9057
550165,-245350,21.9013
555166,-245370,20.8626
560168,-245391,21.9013
565170,-245412,21.9013
570171,-245432,20.8626
575173,-245453,21.9013
580174,-245474,21.9057
585176,-245495,21.9013
590178,-245516,21.9013
595179,-245537,21.9057
600181,-245558,21.9013
605182,-245579,21.9057
610184,-245600,21.9013
615186,-245621,21.9013
620187,-245642,21.9057
625189,-245664,22.9442
630190,-245685,21.9057
635192,-245706,21.9013
640194,-245728,22.9442
645195,-245749,21.9057
650197,-245770,21.9013
655198,-245792,22.9488
660200,-245813,21.9013
665202,-245835,22.9442
670203,-245856,21.9057
675205,-245878,22.9442
680206,-245899,21.9057
685208,-245920,21.9013
690210,-245942,22.9442
695211,-245964,22.9488
700213,-245985,21.9013
705214,-246007,22.9488
710216,-246028,21.9013
715217,-246050,22.9488
720219,-246071,21.9013
725221,-246093,22.9442
730222,-246114,21.9057
735224,-246136,22.9442
740225,-246158,22.9488
745227,-246179,21.9013
750229,-246201,22.9442
755230,-246222,21.9057
760232,-246244,22.9442
765233,-246265,21.9057
770235,-246286,21.9013
775237,-246308,22.9442
780238,-246329,21.9057
785240,-246350,21.9013
790241,-246370,20.8626
795243,-246391,21.9013
800245,-246412,21.9013
805246,-246433,21.9057
810248,-246454,21.9013
815249,-246474,20.8626
820251,-246496,22.9442
825253,-246516,20.8584
830254,-246537,21.9057
835256,-246558,21.9013
840257,-246579,21.9057
845259,-246600,21.9013
850261,-246620,20.8584
