Time(us),Position(counts),Speed(rad/s)
1145306,-318260,7.3019
1150307,-318268,8.3450
1155308,-318276,8.3450
1160310,-318284,8.3434
1165311,-318291,7.3019
1170313,-318299,8.3434
1175313,-318307,8.3467
1180315,-318314,7.3004
1185316,-318322,8.3450
1190318,-318330,8.3434
1195319,-318338,8.3450
1200320,-318345,7.3019
1205321,-318353,8.3450
1210323,-318361,8.3434
1215324,-318368,7.3019
1220326,-318376,8.3434
1225326,-318384,8.3467
1230328,-318391,7.3004
1235329,-318399,8.3450
1240330,-318406,7.3019
1245332,-318414,8.3434
1250332,-318422,8.3467
1255334,-318429,7.3004
1260335,-318436,7.3019
1265337,-318444,8.3434
1270338,-318450,6.2588
1275339,-318456,6.2588
1280340,-318463,7.3019
1285342,-318469,6.2575
1290343,-318475,6.2588
1295345,-318481,6.2575
1300345,-318487,6.2600
1305347,-318493,6.2575
1310348,-318498,5.2156
1315350,-318504,6.2575
1320351,-318510,6.2588
1325353,-318515,5.2146
1330354,-318521,6.2588
1335355,-318526,5.2156
1340356,-318531,5.2156
1345358,-318536,5.2146
1350359,-318542,6.2588
1355361,-318546,4.1717
1360362,-318551,5.2156
1365364,-318556,5.2146
1370364,-318561,5.2167
1375366,-318566,5.2146
1380367,-318571,5.2156
1385369,-318576,5.2146
1390371,-318581,5.2146
1395372,-318585,4.1725
1400374,-318590,5.2146
1405375,-318595,5.2156
1410377,-318600,5.2146
1415379,-318604,4.1717
1420380,-318609,5.2156
1425382,-318614,5.2146
1430383,-318618,4.1725
1435385,-318623,5.2146
1440386,-318628,5.2156
1445387,-318633,5.2156
1450388,-318638,5.2156
1455390,-318643,5.2146
1460391,-318648,5.2156
1465393,-318653,5.2146
1470395,-318658,5.2146
1475396,-318663,5.2156
1480398,-318668,5.2146
1485399,-318673,5.2156
1490401,-318678,5.2146
1495403,-318684,6.2575
1500404,-318689,5.2156
1505406,-318694,5.2146
1510407,-318699,5.2156
1515409,-318704,5.2146
1520411,-318709,5.2146
1525412,-318714,5.2156
1530414,-318719,5.2146
1535415,-318724,5.2156
1540417,-318729,5.2146
1545418,-318734,5.2156
1550420,-318739,5.2146
1555422,-318745,6.2575
1560423,-318750,5.2156
1565425,-318755,5.2146
1570426,-318761,6.2588
1575428,-318766,5.2146
1580430,-318771,5.2146
1585431,-318776,5.2156
1590433,-318782,6.2575
1595434,-318787,5.2156
1600436,-318792,5.2146
1605438,-318797,5.2146
1610439,-318802,5.2156
1615441,-318808,6.2575
1620442,-318813,5.2156
1625444,-318818,5.2146
1630444,-318824,6.2600
1635446,-318829,5.2146
1640447,-318834,5.2156
1645449,-318840,6.2575
1650450,-318846,6.2588
1655452,-318851,5.2146
1660453,-318857,6.2588
1665454,-318862,5.2156
1670455,-318868,6.2588
1675457,-318874,6.2575
1680458,-318879,5.2156
1685460,-318885,6.2575
1690460,-318891,6.2600
1695462,-318897,6.2575
1700463,-318902,5.2156
1705465,-318908,6.2575
1710466,-318914,6.2588
1715468,-318920,6.2575
1720469,-318926,6.2588
1725470,-318932,6.2588
1730471,-318939,7.3019
1735473,-318945,6.2575
1740474,-318951,6.2588
1745476,-318958,7.3004
1750476,-318964,6.2600
1755478,-318970,6.2575
1760479,-318977,7.3019
1765480,-318983,6.2588
1770482,-318990,7.3004
1775482,-318996,6.2600
1780484,-319003,7.3004
1785485,-319009,6.2588
1790487,-319016,7.3004
1795488,-319023,7.3019
1800489,-319029,6.2588
1805490,-319036,7.3019
1810492,-319043,7.3004
1815493,-319050,7.3019
1820495,-319057,7.3004
1825495,-319064,7.3034
1830497,-319070,6.2575
1835498,-319077,7.3019
1840500,-319084,7.3004
1845501,-319091,7.3019
1850501,-319098,7.3034
1855503,-319105,7.3004
1860505,-319112,7.3004
1865506,-319120,8.3450
1870507,-319127,7.3019
1875508,-319134,7.3019
1880509,-319141,7.3019
1885511,-319148,7.3004
1890512,-319155,7.3019
1895514,-319162,7.3004
1900514,-319170,8.3467
1905516,-319177,7.3004
1910517,-319184,7.3019
1915519,-319192,8.3434
1920520,-319199,7.3019
1925521,-319206,7.3019
1930522,-319213,7.3019
1935524,-319221,8.3434
1940525,-319228,7.3019
1945527,-319235,7.3004
1950527,-319243,8.3467
1955529,-319250,7.3004
1960530,-319258,8.3450
1965531,-319265,7.3019
1970533,-319272,7.3004
1975533,-319280,8.3467
1980535,-319287,7.3004
1985536,-319295,8.3450
1990538,-319302,7.3004
1995539,-319310,8.3450
2000540,-319317,7.3019
2005541,-319325,8.3450
2010543,-319332,7.3004
2015544,-319340,8.3450
2020546,-319348,8.3434
2025546,-319355,7.3034
2030548,-319363,8.3434
2035549,-319370,7.3019
2040551,-319378,8.3434
2045552,-319386,8.3450
2050552,-319394,8.3467
2055554,-319401,7.3004
2060556,-319409,8.3434
2065557,-319416,7.3019
2070559,-319424,8.3434
2075559,-319432,8.3467
2080560,-319440,8.3450
2085562,-319447,7.3004
2090563,-319455,8.3450
2095565,-319463,8.3434
2100565,-319470,7.3034
2105567,-319478,8.3434
2110568,-319486,8.3450
2115570,-319493,7.3004
2120571,-319501,8.3450
2125572,-319509,8.3450
2130573,-319516,7.3019
2135575,-319524,8.3434
2140576,-319532,8.3450
2145578,-319540,8.3434
2150578,-319547,7.3034
2155580,-319555,8.3434
2160581,-319563,8.3450
2165583,-319570,7.3004
2170584,-319578,8.3450
2175584,-319586,8.3467
2180586,-319593,7.3004
2185587,-319601,8.3450
2190589,-319609,8.3434
2195590,-319616,7.3019
2200591,-319624,8.3450
2205592,-319632,8.3450
2210594,-319639,7.3004
2215595,-319646,7.3019
2220597,-319653,7.3004
2225597,-319660,7.3034
2230599,-319667,7.3004
2235600,-319674,7.3019
2240602,-319681,7.3004
2245603,-319688,7.3019
2250604,-319695,7.3019
2255605,-319702,7.3019
2260607,-319709,7.3004
2265608,-319716,7.3019
2270610,-319722,6.2575
2275610,-319729,7.3034
2280612,-319735,6.2575
2285613,-319742,7.3019
2290614,-319748,6.2588
2295616,-319754,6.2575
2300616,-319760,6.2600
2305618,-319765,5.2146
2310619,-319771,6.2588
2315621,-319777,6.2575
2320623,-319782,5.2146
2325624,-319788,6.2588
2330626,-319794,6.2575
2335627,-319799,5.2156
2340629,-319804,5.2146
2345629,-319810,6.2600
2350631,-319814,4.1717
2355632,-319820,6.2588
2360634,-319824,4.1717
2365635,-319829,5.2156
2370635,-319834,5.2167
2375637,-319839,5.2146
2380639,-319844,5.2146
2385640,-319849,5.2156
2390642,-319854,5.2146
2395643,-319859,5.2156
2400645,-319864,5.2146
2405647,-319869,5.2146
2410648,-319874,5.2156
2415650,-319879,5.2146
2420651,-319884,5.2156
2425653,-319889,5.2146
2430655,-319894,5.2146
2435656,-319899,5.2156
2440658,-319904,5.2146
2445659,-319909,5.2156
2450661,-319914,5.2146
2455663,-319920,6.2575
2460664,-319925,5.2156
2465666,-319930,5.2146
2470667,-319935,5.2156
2475669,-319940,5.2146
2480670,-319946,6.2588
2485672,-319951,5.2146
2490673,-319957,6.2588
2495674,-319962,5.2156
2500675,-319968,6.2588
2505677,-319973,5.2146
2510679,-319978,5.2146
2515680,-319984,6.2588
2520681,-319989,5.2156
2525683,-319994,5.2146
2530683,-319999,5.2167
2535685,-320004,5.2146
2540686,-320010,6.2588
2545688,-320015,5.2146
2550690,-320020,5.2146
2555691,-320026,6.2588
2560693,-320031,5.2146
2565694,-320037,6.2588
2570696,-320042,5.2146
2575698,-320048,6.2575
2580699,-320053,5.2156
2585701,-320059,6.2575
2590702,-320064,5.2156
2595704,-320070,6.2575
2600706,-320075,5.2146
2605707,-320080,5.2156
2610709,-320086,6.2575
2615710,-320092,6.2588
2620712,-320097,5.2146
2625712,-320103,6.2600
2630714,-320108,5.2146
2635715,-320114,6.2588
2640717,-320120,6.2575
2645718,-320126,6.2588
2650720,-320131,5.2146
2655721,-320137,6.2588
2660722,-320143,6.2588
2665723,-320149,6.2588
2670725,-320155,6.2575
2675726,-320161,6.2588
2680728,-320167,6.2575
2685728,-320173,6.2600
2690730,-320179,6.2575
2695731,-320185,6.2588
2700732,-320191,6.2588
2705734,-320197,6.2575
2710734,-320204,7.3034
2715736,-320210,6.2575
2720737,-320216,6.2588
2725739,-320222,6.2575
2730740,-320229,7.3019
2735741,-320236,7.3019
2740742,-320242,6.2588
2745744,-320248,6.2575
2750745,-320255,7.3019
2755747,-320262,7.3004
2760747,-320268,6.2600
2765749,-320275,7.3004
2770750,-320282,7.3019
2775752,-320289,7.3004
2780753,-320295,6.2588
2785753,-320302,7.3034
2790755,-320309,7.3004
2795757,-320316,7.3004
2800758,-320323,7.3019
2805760,-320330,7.3004
2810760,-320337,7.3034
2815761,-320344,7.3019
2820763,-320351,7.3004
2825764,-320358,7.3019
2830766,-320365,7.3004
2835766,-320372,7.3034
2840768,-320379,7.3004
2845769,-320386,7.3019
2850771,-320394,8.3434
2855772,-320401,7.3019
2860773,-320408,7.3019
2865774,-320415,7.3019
2870776,-320423,8.3434
2875777,-320430,7.3019
2880779,-320437,7.3004
2885779,-320445,8.3467
2890781,-320452,7.3004
2895782,-320459,7.3019
2900784,-320467,8.3434
2905785,-320474,7.3019
2910785,-320482,8.3467
2915787,-320489,7.3004
2920788,-320497,8.3450
2925790,-320504,7.3004
2930791,-320512,8.3450
2935792,-320519,7.3019
2940793,-320526,7.3019
2945795,-320534,8.3434
2950796,-320542,8.3450
2955798,-320549,7.3004
2960798,-320557,8.3467
2965800,-320564,7.3004
2970801,-320572,8.3450
2975803,-320580,8.3434
2980804,-320587,7.3019
2985805,-320595,8.3450
2990806,-320602,7.3019
2995808,-320610,8.3434
3000809,-320618,8.3450
3005811,-320626,8.3434
3010811,-320633,7.3034
3015813,-320641,8.3434
3020814,-320649,8.3450
3025815,-320656,7.3019
3030817,-320664,8.3434
3035817,-320672,8.3467
3040819,-320679,7.3004
3045820,-320687,8.3450
3050822,-320695,8.3434
3055823,-320702,7.3019
3060824,-320710,8.3450
3065825,-320718,8.3450
3070827,-320726,8.3434
3075828,-320733,7.3019
3080830,-320741,8.3434
3085830,-320749,8.3467
3090832,-320756,7.3004
3095833,-320764,8.3450
3100835,-320772,8.3434
3105836,-320779,7.3019
3110836,-320787,8.3467
3115838,-320795,8.3434
3120840,-320802,7.3004
3125841,-320810,8.3450
3130842,-320818,8.3450
3135843,-320825,7.3019
3140844,-320833,8.3450
3145846,-320840,7.3004
3150847,-320848,8.3450
3155849,-320855,7.3004
3160849,-320862,7.3034
3165851,-320870,8.3434
3170852,-320877,7.3019
3175854,-320884,7.3004
3180855,-320891,7.3019
3185856,-320898,7.3019
3190857,-320905,7.3019
3195859,-320912,7.3004
3200860,-320919,7.3019
3205862,-320926,7.3004
3210862,-320933,7.3034
3215864,-320940,7.3004
3220865,-320946,6.2588
3225866,-320953,7.3019
3230868,-320960,7.3004
3235868,-320966,6.2600
3240870,-320972,6.2575
3245871,-320978,6.2588
3250873,-320985,7.3004
3255874,-320991,6.2588
3260875,-320996,5.2156
3265876,-321002,6.2588
3270878,-321008,6.2575
3275879,-321014,6.2588
3280881,-321019,5.2146
3285881,-321025,6.2600
3290883,-321030,5.2146
3295884,-321036,6.2588
3300886,-321041,5.2146
3305887,-321046,5.2156
3310889,-321051,5.2146
3315891,-321056,5.2146
3320892,-321062,6.2588
3325894,-321067,5.2146
3330895,-321072,5.2156
3335897,-321077,5.2146
3340899,-321082,5.2146
3345900,-321087,5.2156
3350902,-321092,5.2146
3355903,-321098,6.2588
3360905,-321103,5.2146
3365906,-321108,5.2156
3370907,-321113,5.2156
3375908,-321118,5.2156
3380910,-321124,6.2575
3385911,-321129,5.2156
3390913,-321134,5.2146
3395915,-321139,5.2146
3400916,-321145,6.2588
3405918,-321150,5.2146
3410919,-321156,6.2588
3415921,-321161,5.2146
3420923,-321167,6.2575
3425924,-321172,5.2156
3430926,-321178,6.2575
3435927,-321184,6.2588
3440929,-321189,5.2146
3445931,-321195,6.2575
3450932,-321201,6.2588
3455933,-321206,5.2156
3460935,-321212,6.2575
3465935,-321218,6.2600
3470937,-321224,6.2575
3475938,-321230,6.2588
3480940,-321236,6.2575
3485940,-321242,6.2600
3490942,-321248,6.2575
3495945,-321254,6.2563
3500945,-321260,6.2600
3505945,-321266,6.2600
3510945,-321272,6.2600
3515945,-321277,5.2167
3520945,-321283,6.2600
3525945,-321289,6.2600
3530945,-321295,6.2600
3535945,-321301,6.2600
3540945,-321306,5.2167
3545945,-321312,6.2600
3550945,-321318,6.2600
3555945,-321325,7.3034
3560945,-321331,6.2600
3565945,-321337,6.2600
3570945,-321343,6.2600
3575945,-321350,7.3034
3580945,-321356,6.2600
3585945,-321362,6.2600
3590945,-321368,6.2600
3595945,-321375,7.3034
3600945,-321381,6.2600
3605945,-321388,7.3034
3610945,-321394,6.2600
3615945,-321400,6.2600
3620945,-321407,7.3034
3625945,-321413,6.2600
3630945,-321420,7.3034
3635945,-321426,6.2600
3640945,-321432,6.2600
3645945,-321439,7.3034
3650945,-321445,6.2600
3655945,-321452,7.3034
3660945,-321458,6.2600
3665945,-321465,7.3034
3670945,-321471,6.2600
3675945,-321478,7.3034
3680945,-321484,6.2600
3685945,-321491,7.3034
3690945,-321498,7.3034
3695945,-321504,6.2600
3700945,-321511,7.3034
3705945,-321518,7.3034
3710945,-321525,7.3034
3715945,-321532,7.3034
3720945,-321538,6.2600
3725945,-321545,7.3034
3730945,-321552,7.3034
3735945,-321559,7.3034
3740945,-321566,7.3034
3745945,-321573,7.3034
3750945,-321580,7.3034
3755945,-321587,7.3034
3760945,-321594,7.3034
3765945,-321602,8.3467
3770945,-321609,7.3034
3775945,-321616,7.3034
3780945,-321623,7.3034
3785945,-321630,7.3034
3790945,-321638,8.3467
3795945,-321645,7.3034
3800945,-321652,7.3034
3805945,-321659,7.3034
3810945,-321667,8.3467
3815945,-321674,7.3034
3820945,-321681,7.3034
3825945,-321689,8.3467
3830945,-321696,7.3034
3835945,-321704,8.3467
3840945,-321711,7.3034
3845945,-321718,7.3034
3850945,-321726,8.3467
3855945,-321734,8.3467
3860945,-321741,7.3034
3865945,-321748,7.3034
3870945,-321756,8.3467
3875945,-321764,8.3467
3880945,-321771,7.3034
3885945,-321779,8.3467
3890945,-321786,7.3034
3895945,-321794,8.3467
3900945,-321802,8.3467
3905945,-321809,7.3034
3910945,-321817,8.3467
3915945,-321824,7.3034
3920945,-321832,8.3467
3925945,-321840,8.3467
3930945,-321848,8.3467
3935945,-321855,7.3034
3940945,-321863,8.3467
3945945,-321870,7.3034
3950945,-321878,8.3467
3955945,-321886,8.3467
3960945,-321894,8.3467
3965945,-321901,7.3034
3970945,-321909,8.3467
3975945,-321917,8.3467
3980945,-321924,7.3034
3985945,-321932,8.3467
3990945,-321940,8.3467
3995945,-321948,8.3467
4000945,-321955,7.3034
4005945,-321963,8.3467
4010945,-321971,8.3467
4015945,-321978,7.3034
4020945,-321986,8.3467
4025945,-321994,8.3467
4030945,-322002,8.3467
4035945,-322009,7.3034
4040945,-322017,8.3467
4045945,-322025,8.3467
4050945,-322032,7.3034
4055945,-322040,8.3467
4060945,-322048,8.3467
4065945,-322055,7.3034
4070945,-322062,7.3034
4075945,-322069,7.3034
4080945,-322076,7.3034
4085945,-322084,8.3467
4090945,-322091,7.3034
4095945,-322098,7.3034
4100945,-322105,7.3034
4105945,-322112,7.3034
4110945,-322119,7.3034
4115945,-322126,7.3034
4120945,-322133,7.3034
4125945,-322140,7.3034
4130945,-322148,8.3467
4135945,-322154,6.2600
4140945,-322162,8.3467
4145945,-322168,6.2600
4150945,-322176,8.3467
4155945,-322182,6.2600
4160945,-322189,7.3034
4165945,-322196,7.3034
4170945,-322203,7.3034
4175945,-322210,7.3034
4180945,-322216,6.2600
4185945,-322223,7.3034
4190945,-322230,7.3034
4195945,-322236,6.2600
4200945,-322243,7.3034
4205945,-322250,7.3034
4210945,-322256,6.2600
4215945,-322263,7.3034
4220945,-322270,7.3034
4225945,-322276,6.2600
4230945,-322282,6.2600
4235945,-322289,7.3034
4240945,-322295,6.2600
4245945,-322301,6.2600
4250945,-322308,7.3034
4255945,-322314,6.2600
4260945,-322320,6.2600
4265945,-322326,6.2600
4270945,-322332,6.2600
4275945,-322338,6.2600
4280945,-322344,6.2600
4285945,-322349,5.2167
4290945,-322355,6.2600
4295945,-322361,6.2600
4300945,-322367,6.2600
4305945,-322373,6.2600
4310945,-322378,5.2167
4315945,-322384,6.2600
4320945,-322390,6.2600
4325945,-322395,5.2167
4330945,-322401,6.2600
4335945,-322407,6.2600
4340945,-322412,5.2167
4345945,-322418,6.2600
4350945,-322424,6.2600
4355945,-322430,6.2600
4360945,-322436,6.2600
4365945,-322441,5.2167
4370945,-322447,6.2600
4375945,-322453,6.2600
4380945,-322459,6.2600
4385945,-322465,6.2600
4390945,-322470,5.2167
4395945,-322476,6.2600
4400945,-322482,6.2600
4405945,-322489,7.3034
4410945,-322495,6.2600
4415945,-322501,6.2600
4420945,-322507,6.2600
4425945,-322513,6.2600
4430945,-322520,7.3034
4435945,-322526,6.2600
4440945,-322532,6.2600
4445945,-322538,6.2600
4450945,-322545,7.3034
4455945,-322552,7.3034
4460945,-322558,6.2600
4465945,-322564,6.2600
4470945,-322571,7.3034
4475945,-322578,7.3034
