Time(us),Position(counts),Speed(rad/s)
2,-210339,0.0000
5002,-210339,0.0000
10003,-210340,1.0431
15004,-210342,2.0863
20005,-210344,2.0863
25007,-210347,3.1288
30008,-210351,4.1725
35010,-210355,4.1717
40010,-210360,5.2167
45012,-210365,5.2146
50013,-210371,6.2588
55015,-210377,6.2575
60016,-210384,7.3019
65018,-210391,7.3004
70019,-210398,7.3019
75020,-210406,8.3450
80021,-210414,8.3450
85023,-210423,9.3863
90024,-210432,9.3882
95026,-210441,9.3863
100026,-210451,10.4334
105028,-210461,10.4292
110029,-210471,10.4313
115031,-210481,10.4292
120032,-210492,11.4744
125034,-210503,11.4721
130036,-210514,11.4721
135037,-210525,11.4744
140039,-210537,12.5150
145040,-210548,11.4744
150042,-210560,12.5150
155044,-210572,12.5150
160045,-210585,13.5607
165047,-210597,12.5150
170048,-210610,13.5607
175048,-210622,12.5200
180050,-210635,13.5580
185051,-210648,13.5607
190053,-210661,13.5580
195054,-210674,13.5607
200055,-210687,13.5607
205056,-210700,13.5607
210058,-210713,13.5580
215059,-210727,14.6038
220061,-210740,13.5580
225061,-210754,14.6067
230063,-210768,14.6009
235064,-210781,13.5607
240066,-210795,14.6009
245067,-210809,14.6038
250068,-210823,14.6038
255069,-210838,15.6469
260071,-210852,14.6009
265072,-210866,14.6038
270074,-210881,15.6438
275074,-210895,14.6067
280076,-210910,15.6438
285077,-210925,15.6469
290078,-210940,15.6469
295080,-210955,15.6438
300080,-210970,15.6501
305082,-210985,15.6438
310083,-211000,15.6469
315085,-211016,16.6867
320086,-211031,15.6469
325087,-211046,15.6469
330088,-211062,16.6901
335090,-211077,15.6438
340091,-211093,16.6901
345093,-211108,15.6438
350093,-211124,16.6934
355095,-211139,15.6438
360096,-211155,16.6901
365098,-211170,15.6438
370099,-211186,16.6901
375099,-211201,15.6501
380101,-211217,16.6867
385103,-211232,15.6438
390104,-211248,16.6901
395105,-211263,15.6469
400106,-211278,15.6469
405107,-211294,16.6901
410109,-211309,15.6438
415110,-211324,15.6469
420112,-211340,16.6867
425112,-211355,15.6501
430114,-211371,16.6867
435115,-211386,15.6469
440117,-211402,16.6867
445118,-211417,15.6469
450119,-211432,15.6469
455120,-211448,16.6901
460122,-211463,15.6438
465123,-211479,16.6901
470125,-211494,15.6438
475125,-211510,16.6934
480127,-211525,15.6438
485128,-211540,15.6469
490129,-211556,16.6901
495131,-211571,15.6438
500131,-211587,16.6934
505133,-211602,15.6438
510134,-211618,16.6901
515136,-211633,15.6438
520137,-211649,16.6901
525138,-211664,15.6469
530139,-211680,16.6901
535141,-211696,16.6867
540142,-211711,15.6469
545144,-211727,16.6867
550144,-211743,16.6934
555146,-211758,15.6438
560147,-211774,16.6901
565149,-211790,16.6867
570150,-211806,16.6901
575150,-211821,15.6501
580152,-211837,16.6867
585154,-211853,16.6867
590155,-211869,16.6901
595157,-211885,16.6867
600157,-211901,16.6934
605158,-211917,16.6901
610160,-211933,16.6867
615161,-211949,16.6901
620163,-211965,16.6867
625163,-211981,16.6934
630165,-211997,16.6867
635166,-212013,16.6901
640168,-212030,17.7296
645169,-212046,16.6901
650170,-212062,16.6901
655171,-212078,16.6901
660173,-212094,16.6867
665174,-212111,17.7332
670176,-212127,16.6867
675176,-212143,16.6934
680178,-212160,17.7296
685179,-212176,16.6901
690181,-212192,16.6867
695182,-212208,16.6901
700182,-212224,16.6934
705184,-212241,17.7296
710185,-212257,16.6901
715187,-212272,15.6438
720188,-212288,16.6901
725189,-212304,16.6901
730190,-212320,16.6901
735192,-212336,16.6867
740193,-212351,15.6469
745195,-212367,16.6867
750195,-212382,15.6501
755197,-212398,16.6867
760198,-212414,16.6901
765200,-212429,15.6438
770201,-212445,16.6901
775202,-212460,15.6469
780203,-212476,16.6901
785205,-212491,15.6438
790206,-212507,16.6901
795208,-212522,15.6438
800208,-212538,16.6934
805210,-212553,15.6438
810211,-212569,16.6901
815212,-212584,15.6469
820214,-212600,16.6867
825214,-212615,15.6501
830216,-212631,16.6867
835217,-212646,15.6469
840219,-212662,16.6867
845220,-212677,15.6469
850221,-212693,16.6901
855222,-212708,15.6469
860224,-212724,16.6867
865225,-212739,15.6469
870227,-212755,16.6867
875227,-212770,15.6501
880229,-212786,16.6867
885230,-212802,16.6901
890232,-212817,15.6438
895233,-212833,16.6901
900233,-212849,16.6934
905235,-212864,15.6438
910237,-212880,16.6867
915238,-212896,16.6901
920239,-212912,16.6901
925240,-212928,16.6901
930241,-212944,16.6901
935243,-212960,16.6867
940244,-212975,15.6469
945246,-212991,16.6867
950246,-213007,16.6934
955248,-213024,17.7296
960249,-213040,16.6901
965251,-213056,16.6867
970252,-213072,16.6901
975253,-213088,16.6901
980254,-213104,16.6901
985256,-213120,16.6867
990257,-213136,16.6901
995259,-213153,17.7296
1000259,-213169,16.6934
1005261,-213185,16.6867
1010262,-213202,17.7332
1015263,-213218,16.6901
1020265,-213234,16.6867
1025265,-213250,16.6934
1030267,-213267,17.7296
1035268,-213283,16.6901
1040270,-213300,17.7296
1045271,-213316,16.6901
1050272,-213332,16.6901
1055273,-213349,17.7332
1060275,-213365,16.6867
1065276,-213382,17.7332
1070278,-213398,16.6867
1075278,-213415,17.7367
1080280,-213431,16.6867
1085281,-213448,17.7332
1090283,-213464,16.6867
1095284,-213481,17.7332
1100284,-213497,16.6934
1105286,-213514,17.7296
1110288,-213530,16.6867
1115289,-213547,17.7332
1120291,-213564,17.7296
1125291,-213580,16.6934
1130292,-213597,17.7332
1135294,-213613,16.6867
1140295,-213629,16.6901
1145297,-213645,16.6867
1150297,-213661,16.6934
1155299,-213677,16.6867
1160300,-213692,15.6469
1165302,-213708,16.6867
1170303,-213723,15.6469
1175304,-213739,16.6901
1180305,-213754,15.6469
1185307,-213770,16.6867
1190308,-213785,15.6469
1195310,-213800,15.6438
1200310,-213816,16.6934
1205312,-213831,15.6438
1210313,-213846,15.6469
1215315,-213862,16.6867
1220316,-213877,15.6469
1225316,-213892,15.6501
1230318,-213908,16.6867
1235319,-213923,15.6469
1240321,-213938,15.6438
1245322,-213954,16.6901
1250323,-213969,15.6469
1255324,-213985,16.6901
1260326,-214000,15.6438
1265327,-214016,16.6901
1270329,-214031,15.6438
1275329,-214046,15.6501
1280331,-214062,16.6867
1285332,-214077,15.6469
1290334,-214093,16.6867
1295335,-214108,15.6469
1300336,-214124,16.6901
1305337,-214140,16.6901
1310339,-214156,16.6867
1315340,-214171,15.6469
1320342,-214187,16.6867
1325342,-214203,16.6934
1330344,-214219,16.6867
1335345,-214235,16.6901
1340346,-214251,16.6901
1345348,-214267,16.6867
1350348,-214283,16.6934
1355350,-214299,16.6867
1360351,-214315,16.6901
1365353,-214332,17.7296
1370354,-214348,16.6901
1375355,-214364,16.6901
1380356,-214380,16.6901
1385358,-214396,16.6867
1390359,-214413,17.7332
1395361,-214429,16.6867
1400361,-214446,17.7367
1405363,-214462,16.6867
1410364,-214478,16.6901
1415366,-214495,17.7296
1420367,-214511,16.6901
1425367,-214528,17.7367
1430369,-214544,16.6867
1435371,-214561,17.7296
1440372,-214578,17.7332
1445373,-214594,16.6901
1450374,-214611,17.7332
1455375,-214628,17.7332
1460377,-214644,16.6867
1465378,-214661,17.7332
1470380,-214677,16.6867
1475380,-214694,17.7367
1480382,-214711,17.7296
1485383,-214728,17.7332
1490385,-214744,16.6867
1495386,-214761,17.7332
1500387,-214778,17.7332
1505388,-214794,16.6901
1510390,-214811,17.7296
1515391,-214828,17.7332
1520393,-214845,17.7296
1525393,-214861,16.6934
1530395,-214878,17.7296
1535396,-214894,16.6901
1540397,-214911,17.7332
1545399,-214928,17.7296
1550399,-214944,16.6934
1555401,-214960,16.6867
1560402,-214977,17.7332
1565404,-214993,16.6867
1570405,-215010,17.7332
1575406,-215026,16.6901
1580407,-215042,16.6901
1585409,-215058,16.6867
1590410,-215074,16.6901
1595412,-215089,15.6438
1600412,-215105,16.6934
1605414,-215121,16.6867
1610415,-215136,15.6469
1615417,-215152,16.6867
1620418,-215168,16.6901
1625418,-215184,16.6934
1630420,-215199,15.6438
1635422,-215215,16.6867
1640423,-215231,16.6901
1645425,-215247,16.6867
1650425,-215263,16.6934
1655426,-215278,15.6469
1660428,-215294,16.6867
1665429,-215310,16.6901
1670431,-215326,16.6867
1675431,-215342,16.6934
1680433,-215358,16.6867
1685434,-215374,16.6901
1690436,-215390,16.6867
1695437,-215406,16.6901
1700438,-215422,16.6901
1705439,-215438,16.6901
1710441,-215454,16.6867
1715442,-215470,16.6901
1720444,-215486,16.6867
1725444,-215502,16.6934
1730446,-215519,17.7296
1735447,-215535,16.6901
1740449,-215551,16.6867
1745450,-215567,16.6901
1750450,-215584,17.7367
1755452,-215600,16.6867
1760453,-215616,16.6901
1765455,-215632,16.6867
1770456,-215649,17.7332
1775457,-215665,16.6901
1780458,-215682,17.7332
1785460,-215698,16.6867
1790461,-215715,17.7332
1795463,-215731,16.6867
1800463,-215748,17.7367
1805465,-215764,16.6867
1810466,-215781,17.7332
1815468,-215798,17.7296
1820469,-215814,16.6901
1825470,-215831,17.7332
1830471,-215848,17.7332
1835473,-215865,17.7296
1840474,-215881,16.6901
1845476,-215898,17.7296
1850476,-215915,17.7367
1855478,-215932,17.7296
1860479,-215948,16.6901
1865480,-215965,17.7332
1870482,-215982,17.7296
1875482,-215999,17.7367
1880484,-216016,17.7296
1885485,-216032,16.6901
1890487,-216049,17.7296
1895488,-216066,17.7332
1900489,-216083,17.7332
1905490,-216099,16.6901
1910492,-216116,17.7296
1915493,-216132,16.6901
1920495,-216149,17.7296
1925495,-216166,17.7367
1930497,-216182,16.6867
1935498,-216199,17.7332
1940500,-216215,16.6867
1945501,-216232,17.7332
1950501,-216248,16.6934
1955503,-216264,16.6867
1960505,-216281,17.7296
1965506,-216297,16.6901
1970507,-216314,17.7332
1975508,-216330,16.6901
1980509,-216346,16.6901
1985511,-216362,16.6867
1990512,-216379,17.7332
1995514,-216395,16.6867
2000514,-216411,16.6934
2005516,-216427,16.6867
2010517,-216443,16.6901
2015519,-216459,16.6867
2020520,-216475,16.6901
2025521,-216491,16.6901
2030522,-216507,16.6901
2035524,-216523,16.6867
2040525,-216539,16.6901
2045527,-216555,16.6867
2050527,-216571,16.6934
2055529,-216588,17.7296
2060530,-216604,16.6901
2065531,-216620,16.6901
2070533,-216636,16.6867
2075533,-216652,16.6934
2080535,-216669,17.7296
2085536,-216685,16.6901
2090538,-216701,16.6867
2095539,-216718,17.7332
2100540,-216734,16.6901
2105541,-216750,16.6901
2110543,-216766,16.6867
2115544,-216783,17.7332
2120546,-216800,17.7296
2125546,-216816,16.6934
2130548,-216832,16.6867
2135549,-216849,17.7332
2140551,-216865,16.6867
2145552,-216882,17.7332
2150552,-216898,16.6934
2155554,-216915,17.7296
2160556,-216931,16.6867
2165557,-216948,17.7332
2170559,-216965,17.7296
2175559,-216981,16.6934
2180560,-216998,17.7332
2185562,-217015,17.7296
2190563,-217031,16.6901
2195565,-217048,17.7296
2200565,-217065,17.7367
2205567,-217082,17.7296
2210568,-217098,16.6901
2215570,-217115,17.7296
2220571,-217132,17.7332
2225572,-217149,17.7332
2230573,-217166,17.7332
2235575,-217183,17.7296
2240576,-217199,16.6901
2245578,-217216,17.7296
2250578,-217233,17.7367
2255580,-217250,17.7296
2260581,-217266,16.6901
2265583,-217283,17.7296
2270584,-217299,16.6901
2275584,-217316,17.7367
2280586,-217333,17.7296
2285587,-217349,16.6901
2290589,-217366,17.7296
2295590,-217382,16.6901
2300591,-217399,17.7332
2305592,-217415,16.6901
2310594,-217432,17.7296
2315595,-217448,16.6901
2320597,-217465,17.7296
2325597,-217481,16.6934
2330599,-217498,17.7296
2335600,-217514,16.6901
2340602,-217530,16.6867
2345603,-217547,17.7332
2350604,-217563,16.6901
2355605,-217580,17.7332
2360607,-217596,16.6867
2365608,-217612,16.6901
2370610,-217628,16.6867
2375610,-217645,17.7367
2380612,-217661,16.6867
2385613,-217678,17.7332
2390614,-217694,16.6901
2395616,-217710,16.6867
2400616,-217727,17.7367
2405618,-217744,17.7296
2410619,-217760,16.6901
2415621,-217777,17.7296
2420622,-217793,16.6901
2425623,-217810,17.7332
2430624,-217826,16.6901
2435626,-217843,17.7296
2440627,-217860,17.7332
2445629,-217876,16.6867
2450629,-217893,17.7367
2455631,-217909,16.6867
2460632,-217926,17.7332
2465634,-217942,16.6867
2470635,-217959,17.7332
2475635,-217975,16.6934
2480637,-217992,17.7296
2485639,-218008,16.6867
2490640,-218025,17.7332
2495641,-218041,16.6901
2500642,-218058,17.7332
2505643,-218075,17.7332
2510645,-218091,16.6867
2515646,-218108,17.7332
2520648,-218125,17.7296
2525648,-218141,16.6934
2530650,-218158,17.7296
2535651,-218175,17.7332
2540653,-218192,17.7296
2545654,-218208,16.6901
2550655,-218225,17.7332
2555656,-218242,17.7332
2560658,-218258,16.6867
2565659,-218275,17.7332
2570661,-218292,17.7296
2575661,-218308,16.6934
2580663,-218325,17.7296
2585664,-218342,17.7332
2590665,-218358,16.6901
2595667,-218375,17.7296
2600667,-218392,17.7367
2605669,-218409,17.7296
2610670,-218426,17.7332
2615672,-218442,16.6867
2620673,-218459,17.7332
2625674,-218476,17.7332
2630675,-218492,16.6901
2635677,-218509,17.7296
2640678,-218526,17.7332
2645680,-218542,16.6867
2650680,-218559,17.7367
2655682,-218576,17.7296
2660683,-218592,16.6901
2665685,-218608,16.6867
2670686,-218625,17.7332
2675686,-218642,17.7367
2680688,-218658,16.6867
2685690,-218674,16.6867
2690691,-218691,17.7332
2695693,-218707,16.6867
2700693,-218724,17.7367
2705694,-218740,16.6901
2710696,-218757,17.7296
2715697,-218773,16.6901
2720699,-218790,17.7296
2725699,-218806,16.6934
2730701,-218822,16.6867
2735702,-218839,17.7332
2740704,-218855,16.6867
2745705,-218872,17.7332
2750706,-218888,16.6901
2755707,-218905,17.7332
2760709,-218921,16.6867
2765710,-218938,17.7332
2770712,-218954,16.6867
